date,favorite,underdog,spread,fav_odds,dog_odds,fav_implied_prob,dog_implied_prob,model_fav_probability,model_dog_probability,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,predicted_cover,actual_cover,correct_prediction,model_type
2025-10-22,Cleveland,New York,1.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4166666666666667,0.5833333333333333,-0.10714285714285715,0.05952380952380942,0.05952380952380942,underdog,0,0.0,1,Away Favorite
2025-10-22,Charlotte,Brooklyn,5.5,109,-113,0.4784688995215311,0.5305164319248826,0.6119402985074627,0.3880597014925373,0.13347139898593158,-0.1424567304323453,0.13347139898593158,favorite,1,1.0,1,Home Favorite
2025-10-22,Orlando,Miami,8.5,100,-103,0.5,0.5073891625615764,0.6119402985074627,0.3880597014925373,0.11194029850746268,-0.11932946106903908,0.11194029850746268,favorite,1,0.0,0,Home Favorite
2025-10-22,Atlanta,Toronto,5.5,-101,100,0.5024875621890548,0.5,0.6119402985074627,0.3880597014925373,0.1094527363184079,-0.11194029850746268,0.1094527363184079,favorite,1,0.0,0,Home Favorite
2025-10-22,Boston,Philadelphia,4.5,-104,101,0.5098039215686274,0.4975124378109453,0.6119402985074627,0.3880597014925373,0.10213637693883526,-0.10945273631840796,0.10213637693883526,favorite,1,0.0,0,Home Favorite
2025-10-22,Detroit,Chicago,2.5,-105,100,0.5121951219512195,0.5,0.4166666666666667,0.5833333333333333,-0.09552845528455284,0.08333333333333326,0.08333333333333326,underdog,0,0.0,1,Away Favorite
2025-10-22,Memphis,New Orleans,3.5,-110,-110,0.5238095238095238,0.5238095238095238,0.6119402985074627,0.3880597014925373,0.08813077469793884,-0.1357498223169865,0.08813077469793884,favorite,1,1.0,1,Home Favorite
2025-10-22,Milwaukee,Washington,10.5,105,-117,0.4878048780487805,0.5391705069124424,0.6119402985074627,0.3880597014925373,0.1241354204586822,-0.15111080541990507,0.1241354204586822,favorite,1,1.0,1,Home Favorite
2025-10-22,La Clippers,Utah,9.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4166666666666667,0.5833333333333333,-0.10714285714285715,0.05952380952380942,0.05952380952380942,underdog,0,0.0,1,Away Favorite
2025-10-22,Dallas,San Antonio,2.5,-110,-110,0.5238095238095238,0.5238095238095238,0.6119402985074627,0.3880597014925373,0.08813077469793884,-0.1357498223169865,0.08813077469793884,favorite,1,0.0,0,Home Favorite
2025-10-22,Phoenix,Sacramento,4.5,104,-108,0.49019607843137253,0.5192307692307693,0.6119402985074627,0.3880597014925373,0.12174422007609015,-0.13117106773823195,0.12174422007609015,favorite,1,0.0,0,Home Favorite
2025-10-22,Minnesota,Portland,4.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4166666666666667,0.5833333333333333,-0.10714285714285715,0.05952380952380942,0.05952380952380942,underdog,0,0.0,1,Away Favorite
2025-10-23,Okla City,Indiana,8.5,-110,-110,0.5238095238095238,0.5238095238095238,0.2459016393442623,0.7540983606557377,-0.27790788446526155,0.23028883684621382,0.23028883684621382,underdog,0,0.0,1,Away Favorite
2025-10-23,Golden State,Denver,2.5,-110,-110,0.5238095238095238,0.5238095238095238,0.3076923076923077,0.6923076923076923,-0.21611721611721613,0.16849816849816845,0.16849816849816845,underdog,0,1.0,0,Home Favorite
2025-10-24,Toronto,Milwaukee,1.5,-107,102,0.5169082125603864,0.49504950495049505,1.0,0.0,0.48309178743961356,-0.49504950495049505,0.48309178743961356,favorite,1,0.0,0,Home Favorite
