date,favorite,underdog,spread,fav_odds,dog_odds,fav_implied_prob,dog_implied_prob,model_fav_probability,model_dog_probability,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,predicted_cover,actual_cover,correct_prediction,model_type
2025-10-22,Cleveland,New York,1.5,-110,-110,0.5238095238095238,0.5238095238095238,0.49526066350710896,0.504739336492891,-0.02854886030241488,-0.019070187316632792,-0.019070187316632792,underdog,0,0.0,1,Away Favorite
2025-10-22,Charlotte,Brooklyn,5.5,109,-113,0.4784688995215311,0.5305164319248826,0.46491228070175444,0.5350877192982455,-0.013556618819776656,0.004571287373362876,0.004571287373362876,underdog,0,1.0,0,Home Favorite
2025-10-22,Orlando,Miami,8.5,100,-103,0.5,0.5073891625615764,0.46491228070175444,0.5350877192982455,-0.03508771929824556,0.0276985567366691,0.0276985567366691,underdog,0,0.0,1,Home Favorite
2025-10-22,Atlanta,Toronto,5.5,-101,100,0.5024875621890548,0.5,0.46491228070175444,0.5350877192982455,-0.03757528148730033,0.0350877192982455,0.0350877192982455,underdog,0,0.0,1,Home Favorite
2025-10-22,Boston,Philadelphia,4.5,-104,101,0.5098039215686274,0.4975124378109453,0.46491228070175444,0.5350877192982455,-0.04489164086687297,0.037575281487300216,0.037575281487300216,underdog,0,0.0,1,Home Favorite
2025-10-22,Detroit,Chicago,2.5,-105,100,0.5121951219512195,0.5,0.49526066350710896,0.504739336492891,-0.016934458444110567,0.004739336492891044,0.004739336492891044,underdog,0,0.0,1,Away Favorite
2025-10-22,Memphis,New Orleans,3.5,-110,-110,0.5238095238095238,0.5238095238095238,0.46491228070175444,0.5350877192982455,-0.05889724310776939,0.011278195488721665,0.011278195488721665,underdog,0,1.0,0,Home Favorite
2025-10-22,Milwaukee,Washington,10.5,105,-117,0.4878048780487805,0.5391705069124424,0.46491228070175444,0.5350877192982455,-0.022892597347026034,-0.004082787614196892,-0.004082787614196892,underdog,0,1.0,0,Home Favorite
2025-10-22,La Clippers,Utah,9.5,-110,-110,0.5238095238095238,0.5238095238095238,0.49526066350710896,0.504739336492891,-0.02854886030241488,-0.019070187316632792,-0.019070187316632792,underdog,0,0.0,1,Away Favorite
2025-10-22,Dallas,San Antonio,2.5,-110,-110,0.5238095238095238,0.5238095238095238,0.46491228070175444,0.5350877192982455,-0.05889724310776939,0.011278195488721665,0.011278195488721665,underdog,0,0.0,1,Home Favorite
