date,game_id,home_team,away_team,favorite,underdog,spread,fav_votes,dog_votes,ensemble_pick_side,ensemble_pick_team,ensemble_correct
2025-10-26,2025-10-26_Washington_Charlotte,Washington,Charlotte,Washington,Charlotte,2.5,4,0,FAVORITE,Washington,0
2025-10-27,2025-10-27_Atlanta_Chicago,Chicago,Atlanta,Atlanta,Chicago,2.5,0,4,UNDERDOG,Chicago,1
2025-10-27,2025-10-27_Cleveland_Detroit,Detroit,Cleveland,Cleveland,Detroit,2.5,3,1,FAVORITE,Cleveland,1
2025-10-27,2025-10-27_Denver_Minnesota,Minnesota,Denver,Denver,Minnesota,6.5,4,0,FAVORITE,Denver,1
2025-10-27,2025-10-27_GoldenState_Memphis,Memphis,Golden State,Golden State,Memphis,7.5,1,3,UNDERDOG,Memphis,1
2025-10-27,2025-10-27_Houston_Brooklyn,Houston,Brooklyn,Houston,Brooklyn,15.5,3,1,FAVORITE,Houston,1
2025-10-27,2025-10-27_NewOrleans_Boston,New Orleans,Boston,New Orleans,Boston,1.5,2,1,FAVORITE,New Orleans,0
2025-10-27,2025-10-27_Orlando_Philadelphia,Philadelphia,Orlando,Orlando,Philadelphia,5.5,0,4,UNDERDOG,Philadelphia,1
2025-10-27,2025-10-27_Portland_LaLakers,La Lakers,Portland,Portland,La Lakers,2.5,3,1,FAVORITE,Portland,1
2025-10-27,2025-10-27_SanAntonio_Toronto,Toronto,San Antonio,San Antonio,Toronto,4.5,0,4,UNDERDOG,Toronto,1
2025-10-27,2025-10-27_Utah_Phoenix,Utah,Phoenix,Utah,Phoenix,1.5,4,0,FAVORITE,Utah,1
2025-10-28,2025-10-28_LaClippers_GoldenState,Golden State,La Clippers,La Clippers,Golden State,1.5,3,0,FAVORITE,La Clippers,0
2025-10-28,2025-10-28_Miami_Charlotte,Miami,Charlotte,Miami,Charlotte,6.5,4,0,FAVORITE,Miami,1
2025-10-28,2025-10-28_NewYork_Milwaukee,Milwaukee,New York,New York,Milwaukee,1.5,3,1,FAVORITE,New York,0
2025-10-28,2025-10-28_OklaCity_Sacramento,Okla City,Sacramento,Okla City,Sacramento,10.5,0,4,UNDERDOG,Sacramento,1
2025-10-28,2025-10-28_Philadelphia_Washington,Washington,Philadelphia,Philadelphia,Washington,4.5,4,0,FAVORITE,Philadelphia,1
2025-10-29,2025-10-29_Chicago_Sacramento,Chicago,Sacramento,Chicago,Sacramento,4.5,1,3,UNDERDOG,Sacramento,0
2025-10-29,2025-10-29_Dallas_Indiana,Dallas,Indiana,Dallas,Indiana,5.5,0,4,UNDERDOG,Indiana,1
2025-10-29,2025-10-29_Denver_NewOrleans,Denver,New Orleans,Denver,New Orleans,12.5,3,1,FAVORITE,Denver,1
2025-10-29,2025-10-29_Houston_Toronto,Toronto,Houston,Houston,Toronto,5.5,0,4,UNDERDOG,Toronto,0
2025-10-29,2025-10-29_Memphis_Phoenix,Phoenix,Memphis,Memphis,Phoenix,1.5,1,2,UNDERDOG,Phoenix,1
2025-10-29,2025-10-29_Minnesota_LaLakers,Minnesota,La Lakers,Minnesota,La Lakers,7.5,0,4,UNDERDOG,La Lakers,1
2025-10-29,2025-10-29_Orlando_Detroit,Detroit,Orlando,Orlando,Detroit,1.5,4,0,FAVORITE,Orlando,0
2025-10-29,2025-10-29_Portland_Utah,Utah,Portland,Portland,Utah,3.5,4,0,FAVORITE,Portland,0
2025-10-30,2025-10-30_GoldenState_Milwaukee,Milwaukee,Golden State,Golden State,Milwaukee,3.5,0,4,UNDERDOG,Milwaukee,1
2025-10-30,2025-10-30_OklaCity_Washington,Washington,Okla City,Okla City,Washington,15.5,1,3,UNDERDOG,Washington,1
2025-10-30,2025-10-30_Orlando_Charlotte,Charlotte,Orlando,Orlando,Charlotte,1.5,4,0,FAVORITE,Orlando,1
2025-10-30,2025-10-30_SanAntonio_Miami,Miami,San Antonio,San Antonio,Miami,5.5,0,4,UNDERDOG,Miami,1
2025-10-31,2025-10-31_Atlanta_Indiana,Indiana,Atlanta,Atlanta,Indiana,2.5,0,4,UNDERDOG,Indiana,0
2025-10-31,2025-10-31_Cleveland_Toronto,Cleveland,Toronto,Cleveland,Toronto,4.5,4,0,FAVORITE,Cleveland,0
2025-10-31,2025-10-31_Denver_Portland,Portland,Denver,Denver,Portland,5.5,0,4,UNDERDOG,Portland,1
2025-10-31,2025-10-31_LaClippers_NewOrleans,La Clippers,New Orleans,La Clippers,New Orleans,10.5,4,0,FAVORITE,La Clippers,0
2025-10-31,2025-10-31_Memphis_LaLakers,La Lakers,Memphis,Memphis,La Lakers,2.5,0,4,UNDERDOG,La Lakers,0
2025-10-31,2025-10-31_NewYork_Chicago,Chicago,New York,New York,Chicago,5.5,4,0,FAVORITE,New York,0
2025-10-31,2025-10-31_Phoenix_Utah,Phoenix,Utah,Phoenix,Utah,3.5,1,3,UNDERDOG,Utah,0
2025-11-01,2025-11-01_Detroit_Dallas,Detroit,Dallas,Detroit,Dallas,7.5,0,4,UNDERDOG,Dallas,0
2025-11-01,2025-11-01_Houston_Boston,Boston,Houston,Houston,Boston,5.5,4,0,FAVORITE,Houston,1
2025-11-01,2025-11-01_Milwaukee_Sacramento,Milwaukee,Sacramento,Milwaukee,Sacramento,7.5,2,1,FAVORITE,Milwaukee,0
2025-11-01,2025-11-01_Minnesota_Charlotte,Charlotte,Minnesota,Minnesota,Charlotte,4.5,4,0,FAVORITE,Minnesota,1
2025-11-01,2025-11-01_Orlando_Washington,Washington,Orlando,Orlando,Washington,9.5,4,0,FAVORITE,Orlando,1
2025-11-02,2025-11-02_Charlotte_Utah,Charlotte,Utah,Charlotte,Utah,1.5,4,0,FAVORITE,Charlotte,1
2025-11-02,2025-11-02_Cleveland_Atlanta,Cleveland,Atlanta,Cleveland,Atlanta,6.5,1,3,UNDERDOG,Atlanta,0
2025-11-02,2025-11-02_LaLakers_Miami,Miami,La Lakers,La Lakers,Miami,4.5,0,4,UNDERDOG,Miami,1
2025-11-02,2025-11-02_NewYork_Chicago,New York,Chicago,New York,Chicago,7.5,4,0,FAVORITE,New York,1
2025-11-02,2025-11-02_OklaCity_NewOrleans,Okla City,New Orleans,Okla City,New Orleans,13.5,2,1,FAVORITE,Okla City,1
2025-11-02,2025-11-02_Philadelphia_Brooklyn,Brooklyn,Philadelphia,Philadelphia,Brooklyn,5.5,4,0,FAVORITE,Philadelphia,1
2025-11-02,2025-11-02_SanAntonio_Phoenix,Phoenix,San Antonio,San Antonio,Phoenix,5.5,0,4,UNDERDOG,Phoenix,1
2025-11-02,2025-11-02_Toronto_Memphis,Toronto,Memphis,Toronto,Memphis,4.5,1,3,UNDERDOG,Memphis,0
2025-11-03,2025-11-03_Boston_Utah,Boston,Utah,Boston,Utah,10.5,0,4,UNDERDOG,Utah,1
2025-11-03,2025-11-03_Denver_Sacramento,Denver,Sacramento,Denver,Sacramento,11.5,4,0,FAVORITE,Denver,0
2025-11-03,2025-11-03_Detroit_Memphis,Memphis,Detroit,Detroit,Memphis,4.5,0,4,UNDERDOG,Memphis,0
2025-11-03,2025-11-03_Houston_Dallas,Houston,Dallas,Houston,Dallas,12.5,3,1,FAVORITE,Houston,0
2025-11-03,2025-11-03_LaClippers_Miami,Miami,La Clippers,La Clippers,Miami,8.5,2,1,FAVORITE,La Clippers,0
2025-11-03,2025-11-03_Milwaukee_Indiana,Indiana,Milwaukee,Milwaukee,Indiana,6.5,0,4,UNDERDOG,Indiana,1
