date,favorite,underdog,spread,fav_odds,dog_odds,fav_implied_prob,dog_implied_prob,model_fav_probability,model_dog_probability,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,predicted_cover,actual_cover,correct_prediction,model_type
2025-10-22,Cleveland,New York,1.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4586350821876533,0.5413649178123467,-0.06517444162187053,0.01755539400282291,0.01755539400282291,underdog,0,0.0,True,Away Favorite
2025-10-22,Charlotte,Brooklyn,5.5,109,-113,0.4784688995215311,0.5305164319248826,0.5060776138404272,0.49392238615957285,0.027608714318896055,-0.03659404576530978,0.027608714318896055,favorite,1,1.0,True,Home Favorite
2025-10-22,Orlando,Miami,8.5,100,-103,0.5,0.5073891625615764,0.5060776138404272,0.49392238615957285,0.006077613840427154,-0.013466776402003555,0.006077613840427154,favorite,1,1.0,True,Home Favorite
2025-10-22,Atlanta,Toronto,5.5,-101,100,0.5024875621890548,0.5,0.5060776138404272,0.49392238615957285,0.0035900516513723835,-0.006077613840427154,0.0035900516513723835,favorite,1,0.0,False,Home Favorite
2025-10-22,Boston,Philadelphia,4.5,-104,101,0.5098039215686274,0.4975124378109453,0.5060776138404272,0.49392238615957285,-0.003726307728200262,-0.003590051651372439,-0.003590051651372439,underdog,1,0.0,False,Home Favorite
2025-10-22,Detroit,Chicago,2.5,-105,100,0.5121951219512195,0.5,0.4586350821876533,0.5413649178123467,-0.053560039763566214,0.041364917812346746,0.041364917812346746,underdog,0,0.0,True,Away Favorite
2025-10-22,Memphis,New Orleans,3.5,-110,-110,0.5238095238095238,0.5238095238095238,0.5060776138404272,0.49392238615957285,-0.017731909969096682,-0.02988713764995099,-0.017731909969096682,favorite,1,1.0,True,Home Favorite
2025-10-22,Milwaukee,Washington,10.5,105,-117,0.4878048780487805,0.5391705069124424,0.5060776138404272,0.49392238615957285,0.018272735791646677,-0.04524812075286955,0.018272735791646677,favorite,1,1.0,True,Home Favorite
2025-10-22,La Clippers,Utah,9.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4586350821876533,0.5413649178123467,-0.06517444162187053,0.01755539400282291,0.01755539400282291,underdog,0,0.0,True,Away Favorite
2025-10-22,Dallas,San Antonio,2.5,-110,-110,0.5238095238095238,0.5238095238095238,0.5060776138404272,0.49392238615957285,-0.017731909969096682,-0.02988713764995099,-0.017731909969096682,favorite,1,0.0,False,Home Favorite
2025-10-22,Phoenix,Sacramento,4.5,104,-108,0.49019607843137253,0.5192307692307693,0.4586350821876533,0.5413649178123467,-0.03156099624371922,0.022134148581577473,0.022134148581577473,underdog,0,1.0,False,Away Favorite
2025-10-22,Minnesota,Portland,4.5,-110,-110,0.5238095238095238,0.5238095238095238,0.4586350821876533,0.5413649178123467,-0.06517444162187053,0.01755539400282291,0.01755539400282291,underdog,0,1.0,False,Away Favorite
