date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week
2025-10-29,Dallas,Indiana,5.5,logistic,Home Favorite,0.4504407958527668,0.0,0,True,44
2025-10-29,Denver,New Orleans,12.5,logistic,Home Favorite,0.6772658785142587,1.0,1,True,44
2025-10-29,Portland,Utah,3.5,logistic,Away Favorite,0.6473558449901119,1.0,0,False,44
2025-10-29,Minnesota,La Lakers,7.5,logistic,Home Favorite,0.34825856456780213,0.0,0,True,44
2025-10-29,Memphis,Phoenix,1.5,logistic,Away Favorite,0.4539820068109847,0.0,0,True,44
2025-10-30,Orlando,Charlotte,1.5,logistic,Away Favorite,0.5850617098536243,1.0,1,True,44
2025-10-30,Golden State,Milwaukee,3.5,logistic,Away Favorite,0.29912473558051134,0.0,0,True,44
2025-10-30,Okla City,Washington,15.5,logistic,Away Favorite,0.446949654226545,0.0,0,True,44
2025-10-30,San Antonio,Miami,5.5,logistic,Away Favorite,0.22139099550831773,0.0,0,True,44
2025-10-31,Atlanta,Indiana,2.5,logistic,Away Favorite,0.37546438203096305,0.0,1,False,44
2025-10-31,Boston,Philadelphia,1.5,logistic,Away Favorite,0.5073803282591188,1.0,0,False,44
2025-10-31,Cleveland,Toronto,4.5,logistic,Home Favorite,0.660245628738364,1.0,0,False,44
2025-10-31,New York,Chicago,5.5,logistic,Away Favorite,0.578823553319279,1.0,0,False,44
2025-10-31,Memphis,La Lakers,2.5,logistic,Away Favorite,0.41466956481024936,0.0,1,False,44
2025-10-31,Phoenix,Utah,3.5,logistic,Home Favorite,0.5288361178153695,1.0,1,True,44
2025-10-31,Denver,Portland,5.5,logistic,Away Favorite,0.3394715385917197,0.0,0,True,44
2025-10-31,La Clippers,New Orleans,10.5,logistic,Home Favorite,0.7518618281883583,1.0,0,False,44
2025-11-01,Orlando,Washington,9.5,logistic,Away Favorite,0.7350221370922224,1.0,1,True,44
2025-11-01,Minnesota,Charlotte,4.5,logistic,Away Favorite,0.509975953454262,1.0,1,True,44
2025-11-01,Golden State,Indiana,11.5,logistic,Away Favorite,0.36405014228281357,0.0,0,True,44
2025-11-01,Houston,Boston,5.5,logistic,Away Favorite,0.5668016287598414,1.0,1,True,44
2025-11-01,Milwaukee,Sacramento,7.5,logistic,Home Favorite,0.6723133103053345,1.0,0,False,44
2025-11-01,Detroit,Dallas,7.5,logistic,Home Favorite,0.4321753662643495,0.0,1,False,44
2025-11-02,Okla City,New Orleans,13.5,logistic,Home Favorite,0.5406683504744327,1.0,1,True,44
2025-11-02,Philadelphia,Brooklyn,5.5,logistic,Away Favorite,0.6991142615155731,1.0,1,True,44
2025-11-02,Charlotte,Utah,1.5,logistic,Home Favorite,0.6455286884056539,1.0,1,True,44
2025-11-02,Cleveland,Atlanta,6.5,logistic,Home Favorite,0.432126311538067,0.0,1,False,44
2025-11-02,Toronto,Memphis,4.5,logistic,Home Favorite,0.50944024177405,1.0,1,True,44
2025-11-02,New York,Chicago,7.5,logistic,Home Favorite,0.6213883435773333,1.0,1,True,44
2025-11-02,San Antonio,Phoenix,5.5,logistic,Away Favorite,0.21094821275660938,0.0,0,True,44
2025-11-02,La Lakers,Miami,4.5,logistic,Away Favorite,0.2626432746618854,0.0,0,True,44
2025-11-03,Minnesota,Brooklyn,8.5,logistic,Away Favorite,0.5520266763154533,1.0,1,True,45
2025-11-03,Milwaukee,Indiana,6.5,logistic,Away Favorite,0.32862007069814186,0.0,0,True,45
2025-11-03,Boston,Utah,10.5,logistic,Home Favorite,0.4311371601247217,0.0,0,True,45
2025-11-03,New York,Washington,12.5,logistic,Home Favorite,0.4256667195079304,0.0,1,False,45
2025-11-03,Houston,Dallas,12.5,logistic,Home Favorite,0.5623664045503163,1.0,0,False,45
2025-11-03,Detroit,Memphis,4.5,logistic,Away Favorite,0.41293528390881307,0.0,1,False,45
2025-11-03,Denver,Sacramento,11.5,logistic,Home Favorite,0.7336886590470152,1.0,0,False,45
2025-11-03,Portland,La Lakers,3.5,logistic,Home Favorite,0.4942199169029999,0.0,0,True,45
2025-11-04,Toronto,Milwaukee,3.5,logistic,Home Favorite,0.48893541937161433,0.0,1,False,45
2025-11-04,Orlando,Atlanta,3.5,logistic,Away Favorite,0.7711486879230497,1.0,0,False,45
2025-11-04,Chicago,Philadelphia,1.5,logistic,Home Favorite,0.42458534199786785,0.0,1,False,45
2025-11-04,New Orleans,Charlotte,2.5,logistic,Home Favorite,0.40426406140734883,0.0,1,False,45
2025-11-04,Golden State,Phoenix,10.5,logistic,Away Favorite,0.29222619408929645,0.0,0,True,45
2025-11-04,Okla City,La Clippers,7.5,logistic,Away Favorite,0.47322035078265723,0.0,1,False,45
2025-11-05,Cleveland,Philadelphia,9.5,logistic,Home Favorite,0.3355808539668335,0.0,1,False,45
2025-11-05,Detroit,Utah,9.5,logistic,Home Favorite,0.3221187575422249,0.0,1,False,45
2025-11-05,Indiana,Brooklyn,6.5,logistic,Home Favorite,0.5666860939237671,1.0,0,False,45
2025-11-05,Boston,Washington,12.5,logistic,Home Favorite,0.40503386874373765,0.0,1,False,45
2025-11-05,New York,Minnesota,4.5,logistic,Home Favorite,0.4642115558367224,0.0,1,False,45
2025-11-05,Houston,Memphis,7.5,logistic,Away Favorite,0.6978972075963374,1.0,1,True,45
2025-11-05,Dallas,New Orleans,7.5,logistic,Home Favorite,0.5428201207757142,1.0,0,False,45
2025-11-05,Denver,Miami,9.5,logistic,Home Favorite,0.640218949746748,1.0,1,True,45
2025-11-05,La Lakers,San Antonio,2.5,logistic,Away Favorite,0.3015441487542832,0.0,0,True,45
2025-11-05,Okla City,Portland,4.5,logistic,Away Favorite,0.4978278995204927,0.0,0,True,45
2025-11-05,Sacramento,Golden State,2.5,logistic,Home Favorite,0.4000887667338438,0.0,1,False,45
2025-11-06,Phoenix,La Clippers,2.5,logistic,Away Favorite,0.455812902768413,0.0,0,True,45
2025-11-07,Orlando,Boston,3.5,logistic,Home Favorite,0.4192638587290397,0.0,1,False,45
2025-11-07,Cleveland,Washington,13.5,logistic,Away Favorite,0.38277181973970326,0.0,1,False,45
2025-11-07,Atlanta,Toronto,2.5,logistic,Home Favorite,0.4671570464740449,0.0,0,True,45
2025-11-07,Detroit,Brooklyn,10.5,logistic,Away Favorite,0.4332083093304417,0.0,1,False,45
2025-11-07,Houston,San Antonio,4.5,logistic,Away Favorite,0.6359448888724805,1.0,0,False,45
2025-11-07,Miami,Charlotte,4.5,logistic,Home Favorite,0.6749792345909836,1.0,1,True,45
2025-11-07,Memphis,Dallas,4.5,logistic,Home Favorite,0.41469113654793316,0.0,1,False,45
2025-11-07,Milwaukee,Chicago,4.5,logistic,Home Favorite,0.5412234724683096,1.0,1,True,45
2025-11-07,Minnesota,Utah,11.5,logistic,Home Favorite,0.36907795342962985,0.0,1,False,45
2025-11-07,Denver,Golden State,10.5,logistic,Home Favorite,0.6545953548593576,1.0,1,True,45
2025-11-07,Okla City,Sacramento,10.5,logistic,Away Favorite,0.7291865879626941,1.0,1,True,45
2025-11-08,Dallas,Washington,4.5,logistic,Away Favorite,0.4276018712045622,0.0,1,False,45
2025-11-08,Philadelphia,Toronto,5.5,logistic,Home Favorite,0.47174452623441787,0.0,1,False,45
2025-11-08,La Lakers,Atlanta,3.5,logistic,Away Favorite,0.30704810807176663,0.0,0,True,45
2025-11-08,Cleveland,Chicago,8.5,logistic,Home Favorite,0.5431560733753116,1.0,0,False,45
2025-11-08,Portland,Miami,3.5,logistic,Away Favorite,0.34798624330406625,0.0,0,True,45
2025-11-08,San Antonio,New Orleans,10.5,logistic,Home Favorite,0.5745854177496034,1.0,0,False,45
2025-11-08,Denver,Indiana,12.5,logistic,Home Favorite,0.5331602370784873,1.0,1,True,45
2025-11-08,La Clippers,Phoenix,5.5,logistic,Away Favorite,0.3597588387293118,0.0,1,False,45
2025-11-09,Houston,Milwaukee,4.5,logistic,Away Favorite,0.5037529306189907,1.0,1,True,45
2025-11-09,New York,Brooklyn,15.5,logistic,Home Favorite,0.6188018961043493,1.0,1,True,45
2025-11-09,Orlando,Boston,3.5,logistic,Home Favorite,0.420177754214423,0.0,0,True,45
2025-11-09,Okla City,Memphis,10.5,logistic,Away Favorite,0.592219823721364,1.0,1,True,45
2025-11-09,Detroit,Philadelphia,4.5,logistic,Away Favorite,0.4433619097741483,0.0,0,True,45
2025-11-09,Golden State,Indiana,12.5,logistic,Away Favorite,0.4300951676981842,0.0,0,True,45
2025-11-09,Minnesota,Sacramento,5.5,logistic,Away Favorite,0.5052092555359653,1.0,1,True,45
2025-11-10,La Lakers,Charlotte,8.5,logistic,Away Favorite,0.5603181899529789,1.0,1,True,46
2025-11-10,Detroit,Washington,11.5,logistic,Home Favorite,0.4572981862008756,0.0,0,True,46
2025-11-10,Orlando,Portland,2.5,logistic,Home Favorite,0.5384410944208164,1.0,1,True,46
2025-11-10,Cleveland,Miami,7.5,logistic,Away Favorite,0.341981898321287,0.0,0,True,46
2025-11-10,San Antonio,Chicago,4.5,logistic,Away Favorite,0.3432840369502866,0.0,0,True,46
2025-11-10,Milwaukee,Dallas,2.5,logistic,Away Favorite,0.2366722717021605,0.0,0,True,46
2025-11-10,Phoenix,New Orleans,9.5,logistic,Home Favorite,0.531624606144346,1.0,1,True,46
2025-11-10,Minnesota,Utah,7.5,logistic,Away Favorite,0.48540881978137934,0.0,0,True,46
2025-11-11,Toronto,Brooklyn,10.5,logistic,Away Favorite,0.6770012762218426,1.0,0,False,46
2025-11-11,New York,Memphis,9.5,logistic,Home Favorite,0.49201650274571573,0.0,1,False,46
2025-11-11,Philadelphia,Boston,1.5,logistic,Home Favorite,0.5192164481451963,1.0,1,True,46
2025-11-11,Okla City,Golden State,7.5,logistic,Away Favorite,0.5256499420089836,1.0,0,False,46
