date,favorite,underdog,spread,fav_odds,dog_odds,logistic_prob,linear_prob,rf_prob,pick_side,pick_team,edge,fav_edge,dog_edge,num_models,averaged_fav_prob,averaged_dog_prob,standardized_fav,standardized_dog,cover_prob,actual_cover,result
2025-10-23,Okla City,Indiana,8.5,-110.0,-110.0,0.5123788730629422,0.3976779656790319,0.5650764743166174,UNDERDOG,Indiana,0.0326467529915671,-0.0493134196582337,0.0326467529915671,3,,,,,,0.0,WIN
2025-10-23,Golden State,Denver,2.5,-110.0,-110.0,0.5087316819378226,0.6216512688859469,0.4609075317057592,NO BET,,0.0023172229617782,0.0023172229617782,-0.0189838896284449,3,,,,,,1.0,NO BET
2025-10-24,Toronto,Milwaukee,1.5,-107.0,102.0,0.7593462242518005,0.8921452751610448,0.4504169515669515,FAVORITE,Toronto,0.0643047782181743,0.0643047782181743,-0.0684899793469829,3,,,,,,0.0,LOSS
2025-10-24,Orlando,Atlanta,4.5,-107.0,105.0,0.5350513539213926,0.7660537074679121,0.5251192182966377,FAVORITE,Orlando,0.032141624900558,0.032141624900558,-0.0337912066137664,3,,,,,,0.0,LOSS
2025-10-24,Cleveland,Brooklyn,11.5,-106.0,-103.0,0.4200963993764322,0.6520340766774989,0.6014341606106313,NO BET,,-0.0012454020912114,-0.0012454020912114,-0.006437892183981,3,,,,,,0.0,NO BET
2025-10-24,New York,Boston,3.5,-110.0,-110.0,0.5953873631716977,0.6536759259194659,0.3924548674853063,NO BET,,0.0081771182672547,0.0081771182672547,-0.0248437849339214,3,,,,,,1.0,NO BET
2025-10-24,Houston,Detroit,6.5,103.0,-106.0,0.6468446252096388,0.8468349790712821,0.477605175145221,FAVORITE,Houston,0.0575694311629349,0.0575694311629349,-0.060080311645024,3,,,,,,0.0,LOSS
2025-10-24,Memphis,Miami,2.5,-106.0,101.0,0.3928770154757445,0.3160242904740292,0.4735510686786332,UNDERDOG,Miami,0.0379178697261883,-0.0421443103386599,0.0379178697261883,3,,,,,,0.0,WIN
2025-10-24,San Antonio,New Orleans,4.5,-110.0,-110.0,0.4552222228327111,0.2430303984078866,0.7015668319136061,NO BET,,0.0223845417223345,-0.0390512083890012,0.0223845417223345,3,,,,,,0.0,NO BET
2025-10-24,Dallas,Washington,9.5,-110.0,-110.0,0.4192664308258161,0.2205971408468435,0.4146665849175195,UNDERDOG,Washington,0.0436381483978123,-0.0603048150644791,0.0436381483978123,3,,,,,,0.0,WIN
2025-10-24,Minnesota,La Lakers,2.5,106.0,-112.0,0.461472925812146,0.2506322772105632,0.4421679934181416,UNDERDOG,La Lakers,0.038540009792723,-0.0433485827914407,0.038540009792723,3,,,,,,0.0,WIN
2025-10-24,Golden State,Portland,2.5,-110.0,-110.0,0.4058629325236709,0.1834617269178023,0.3502719391614805,UNDERDOG,Portland,0.05633779951839,-0.0730044661850566,0.05633779951839,3,,,,,,0.0,WIN
2025-10-24,Sacramento,Utah,5.5,-110.0,-110.0,0.5153044305083079,0.4250552304236678,0.4422291428000631,NO BET,,0.0053646395645954,-0.0220313062312621,0.0053646395645954,3,,,,,,0.0,NO BET
2025-10-24,La Clippers,Phoenix,9.5,-108.0,103.0,0.2082282358196417,0.0,0.3415154692392329,UNDERDOG,Phoenix,0.1134494413063496,-0.1175940036405672,0.1134494413063496,3,,,,,,1.0,LOSS
2025-10-25,Orlando,Chicago,6.5,112.0,-119.0,0.3692390480249036,0.3471867260443774,0.3598317753800483,UNDERDOG,Chicago,0.0342539708290851,-0.0395309588535531,0.0342539708290851,3,,,,,,1.0,LOSS
2025-10-25,Okla City,Atlanta,6.5,101.0,-108.0,0.4844700550269807,0.7005138969582401,0.4446610929146012,UNDERDOG,Atlanta,0.0810429261655586,-0.0869030486301587,0.0810429261655586,3,,,,,,1.0,LOSS
2025-10-25,Philadelphia,Charlotte,4.5,-106.0,102.0,0.3718769429086795,0.215804519414232,0.3981882161813962,UNDERDOG,Charlotte,0.0617145441084908,-0.0650789582198048,0.0617145441084908,3,,,,,,0.0,WIN
2025-10-25,Memphis,Indiana,1.5,105.0,-113.0,0.3689995973715287,0.2662267493115773,0.4405897435897436,UNDERDOG,Indiana,0.038807371627792,-0.045219830118574,0.038807371627792,3,,,,,,1.0,LOSS
2025-10-25,Denver,Phoenix,13.5,106.0,-113.0,0.5496209308197968,0.6337418061443535,0.5763347322659186,FAVORITE,Denver,0.0353951254554821,0.0353951254554821,-0.0409787892505503,3,,,,,,1.0,WIN
2025-10-26,San Antonio,Brooklyn,10.5,-111.0,105.0,0.4172843865733079,0.2652356367182276,0.4465074492197798,UNDERDOG,Brooklyn,0.0628509865414105,-0.0677059166072989,0.0628509865414105,3,,,,,,0.0,WIN
2025-10-26,Detroit,Boston,3.5,-104.0,-103.0,0.3744636172264236,0.1641334307842605,0.3334196474778886,UNDERDOG,Boston,0.0706785119631147,-0.0766960914086861,0.0706785119631147,3,,,,,,1.0,LOSS
2025-10-26,Cleveland,Milwaukee,6.5,-105.0,-101.0,0.6797867440048246,0.9020800269419704,0.5928800761731732,FAVORITE,Cleveland,0.0744521728144027,0.0744521728144027,-0.0795911122634988,3,,,,,,0.0,LOSS
2025-10-26,New York,Miami,2.5,-110.0,-110.0,0.655854959405469,0.7003186222905969,0.5732067099567099,FAVORITE,New York,0.0532449080109981,0.0532449080109981,-0.0699115746776648,3,,,,,,0.0,LOSS
2025-10-26,Washington,Charlotte,2.5,101.0,-111.0,0.5897580146208788,0.5892219875980793,0.5103360237300225,NO BET,,0.0229575164602168,0.0229575164602168,-0.0312100924428628,3,,,,,,0.0,NO BET
2025-10-26,Minnesota,Indiana,12.5,102.0,-105.0,0.4408621744573979,0.4865264638199397,0.5752497894865912,NO BET,,0.0020404898397851,0.0020404898397851,-0.0045761092553852,3,,,,,,0.0,NO BET
2025-10-26,Dallas,Toronto,1.5,-110.0,-110.0,0.3678322055694222,0.2109989399605806,0.3844087634587634,UNDERDOG,Toronto,0.0542886772846439,-0.0709553439513106,0.0542886772846439,3,,,,,,1.0,LOSS
2025-10-26,La Clippers,Portland,8.5,-110.0,-110.0,0.6675913285621079,0.7684432644404241,0.5494360506446155,FAVORITE,La Clippers,0.0483049084255005,0.0483049084255005,-0.0649715750921672,3,,,,,,0.0,LOSS
2025-10-26,La Lakers,Sacramento,2.5,-111.0,107.0,0.4116041864289657,0.4898429811602027,0.3784920725343429,UNDERDOG,Sacramento,0.0716850680229871,-0.074890416375667,0.0716850680229871,3,,,,,,1.0,LOSS
2025-10-27,Cleveland,Detroit,2.5,100.0,-102.0,0.5024654883140219,0.7578325188670529,0.6054718580681745,FAVORITE,Cleveland,0.0599863442203508,0.0599863442203508,-0.0617190174876776,3,,,,,,1.0,WIN
2025-10-27,Orlando,Philadelphia,5.5,-117.0,113.0,0.5846939588817862,0.7343333491048891,0.6519556554016696,NO BET,,0.0159197877657254,-0.0189487140113713,0.0159197877657254,3,,,,,,0.0,NO BET
2025-10-27,Atlanta,Chicago,2.5,101.0,-107.0,0.3781532689913708,0.0743216009662264,0.4589047815050318,UNDERDOG,Chicago,0.0919168646097695,-0.0969640922397356,0.0919168646097695,3,,,,,,0.0,WIN
2025-10-27,Houston,Brooklyn,15.5,-106.0,104.0,0.7571739301857315,0.9331602902547148,0.7125771103896105,FAVORITE,Houston,0.1002425678848657,0.1002425678848657,-0.1019082827144869,3,,,,,,1.0,WIN
2025-10-27,New Orleans,Boston,1.5,-110.0,-110.0,0.5488444887301188,0.5943559623495377,0.4930189989039093,NO BET,,0.0075589358314159,0.0075589358314159,-0.0242256024980827,3,,,,,,0.0,NO BET
2025-10-27,San Antonio,Toronto,4.5,-107.0,106.0,0.3761391876718489,0.2368814254383253,0.481826745014245,UNDERDOG,Toronto,0.0685061983688825,-0.0693269853863769,0.0685061983688825,3,,,,,,0.0,WIN
2025-10-27,Okla City,Dallas,8.5,-110.0,-110.0,0.5442442908993296,0.4955147974972957,0.4760017072052105,NO BET,,0.0210319645376771,0.0210319645376771,-0.0376986312043439,3,,,,,,0.0,NO BET
2025-10-27,Utah,Phoenix,1.5,-110.0,-110.0,0.7246723985820944,0.914075095188844,0.6742355258127429,FAVORITE,Utah,0.0865146856180961,0.0865146856180961,-0.1031813522847628,3,,,,,,1.0,WIN
2025-10-27,Denver,Minnesota,6.5,-104.0,100.0,0.536614112876045,0.8908704648911479,0.6044937794937796,FAVORITE,Denver,0.0526882162244453,0.0526882162244453,-0.0561195887734649,3,,,,,,1.0,WIN
2025-10-27,Golden State,Memphis,7.5,-112.0,106.0,0.291219757652144,0.2558471576887727,0.5689927601134498,UNDERDOG,Memphis,0.035370795113133,-0.0401793681118506,0.035370795113133,3,,,,,,0.0,WIN
2025-10-27,Portland,La Lakers,2.5,-110.0,-110.0,0.737145304642504,0.8080706794076585,0.5781542361003918,FAVORITE,Portland,0.0609615733011819,0.0609615733011819,-0.0776282399678486,3,,,,,,1.0,WIN
2025-10-28,Philadelphia,Washington,4.5,-110.0,-110.0,0.580497779604998,0.5642927692605603,0.6438190328521926,FAVORITE,Philadelphia,0.0328054324902992,0.0328054324902992,-0.0494720991569659,3,,,,,,1.0,WIN
2025-10-28,Miami,Charlotte,6.5,-110.0,-110.0,0.8444250702552878,1.0,0.6553861900834329,FAVORITE,Miami,0.108311313706184,0.108311313706184,-0.1249779803728507,3,,,,,,1.0,WIN
2025-10-28,New York,Milwaukee,1.5,-110.0,-110.0,0.5537551292175427,0.576470191046274,0.4498657532971972,NO BET,,0.0046458740301295,0.0046458740301295,-0.0213125406967963,3,,,,,,0.0,NO BET
2025-10-28,Okla City,Sacramento,10.5,-110.0,-110.0,0.4683847189896408,0.4615556524054242,0.3646421967995326,NO BET,,0.0156320337106302,-0.0322987003772969,0.0156320337106302,3,,,,,,0.0,NO BET
2025-10-28,La Clippers,Golden State,1.5,-110.0,-110.0,0.5948575014661199,0.9334272428522266,0.4856555788938925,FAVORITE,La Clippers,0.0340747997450898,0.0340747997450898,-0.0507414664117565,3,,,,,,0.0,LOSS
2025-10-29,Houston,Toronto,5.5,-102.0,-106.0,0.3699721108328218,0.4337893926817877,0.3723059951203754,UNDERDOG,Toronto,0.0734940677928811,-0.0803238284388486,0.0734940677928811,3,,,,,,1.0,LOSS
2025-10-29,Cleveland,Boston,3.5,103.0,-106.0,0.3995777131776393,0.3897455651379028,0.3350166676663184,NO BET,,0.0023286372636385,0.0023286372636385,-0.0048395177457276,3,,,,,,0.0,NO BET
2025-10-29,Orlando,Detroit,1.5,-110.0,108.0,0.8274496852108435,1.0,0.5771078431372549,FAVORITE,Orlando,0.1030816630085549,0.1030816630085549,-0.104684227111119,3,,,,,,0.0,LOSS
2025-10-29,Atlanta,Brooklyn,8.5,105.0,-111.0,0.3776757747063863,0.425462322853137,0.5125917987241516,UNDERDOG,Brooklyn,0.0465543834148212,-0.0514093134807095,0.0465543834148212,3,,,,,,0.0,WIN
2025-10-29,Chicago,Sacramento,4.5,-111.0,106.0,0.3270754485673634,0.2607366881060454,0.3801030381405311,UNDERDOG,Sacramento,0.0671736503170143,-0.0711997856871888,0.0671736503170143,3,,,,,,1.0,LOSS
2025-10-29,Dallas,Indiana,5.5,-114.0,103.0,0.4504407958527668,0.3869106465228063,0.3272684244659768,UNDERDOG,Indiana,0.0417138890983708,-0.0505762803326602,0.0417138890983708,3,,,,,,0.0,WIN
2025-10-29,Denver,New Orleans,12.5,-110.0,-110.0,0.6772658785142587,0.8659785188846065,0.5748301560891552,FAVORITE,Denver,0.0637753645736023,0.0637753645736023,-0.080442031240269,3,,,,,,1.0,WIN
2025-10-29,Portland,Utah,3.5,-110.0,-110.0,0.6401554617336487,0.6616354346667506,0.4746062323117339,FAVORITE,Portland,0.0407025530148094,0.0407025530148094,-0.0573692196814761,3,,,,,,0.0,LOSS
2025-10-29,Minnesota,La Lakers,7.5,-101.0,-109.0,0.3482585645678021,0.3254037061791087,0.3729195005858717,UNDERDOG,La Lakers,0.0453629081770445,-0.0537694401106778,0.0453629081770445,3,,,,,,0.0,WIN
2025-10-29,Memphis,Phoenix,1.5,-109.0,101.0,0.3675075076209059,0.451695424492989,0.3871122883534479,NO BET,,0.0056652973964653,-0.0123305357977603,0.0056652973964653,3,,,,,,0.0,NO BET
2025-10-30,Orlando,Charlotte,1.5,-122.0,109.0,0.5341486210899067,0.5717926129540081,0.3894305555555556,FAVORITE,Orlando,0.0334533902422716,0.0334533902422716,-0.0432598474171498,3,,,,,,1.0,WIN
2025-10-30,Golden State,Milwaukee,3.5,-101.0,-111.0,0.3037965229254007,0.338667013832583,0.3466482264284229,UNDERDOG,Milwaukee,0.0625497599473198,-0.0725436294623041,0.0625497599473198,3,,,,,,0.0,WIN
2025-10-30,Okla City,Washington,15.5,101.0,-107.0,0.4338049818830725,0.3651631452162884,0.411952106127442,NO BET,,0.0212637315242164,-0.0263109591541825,0.0212637315242164,3,,,,,,0.0,NO BET
2025-10-30,San Antonio,Miami,5.5,-107.0,103.0,0.2035277721178212,0.0,0.3528147960424945,UNDERDOG,Miami,0.1185909955571996,-0.1219226630567831,0.1185909955571996,3,,,,,,0.0,WIN
2025-10-31,Atlanta,Indiana,2.5,103.0,-106.0,0.4167440801643035,0.3395106996316129,0.3178017285265861,UNDERDOG,Indiana,0.0513784216590699,-0.053889302141159,0.0513784216590699,3,,,,,,1.0,LOSS
2025-10-31,Boston,Philadelphia,1.5,-102.0,-107.0,0.4883564484596172,0.4456368946526019,0.4922655167842899,NO BET,,0.0029086450427896,-0.0105591927062516,0.0029086450427896,3,,,,,,0.0,NO BET
2025-10-31,Cleveland,Toronto,4.5,-102.0,-105.0,0.660245628738364,0.7258949970059154,0.6170764119601329,FAVORITE,Cleveland,0.0569759811315213,0.0569759811315213,-0.0629769470817749,3,,,,,,0.0,LOSS
