date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week,Date,Favorite,Underdog,Fav. Odds,Dog Odds,fav_implied_prob,dog_implied_prob,model_fav_prob,model_dog_prob,regressed_fav_prob,regressed_dog_prob,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,regressed_prediction,regressed_correct
2025-10-22,Cleveland,New York,1.5,random_forest,Away Favorite,0.4198373827397742,0.0,0,True,43,2025-10-22,Cleveland,New York,-110,-110,0.5238095238095238,0.5238095238095238,0.4198373827397742,0.5801626172602258,0.48741927443511146,0.5435331065172695,-0.036390249374412376,0.019723582707745657,0.019723582707745657,underdog,0,1
2025-10-22,Charlotte,Brooklyn,5.5,random_forest,Home Favorite,0.3794118457608126,0.0,1,False,43,2025-10-22,Charlotte,Brooklyn,109,-113,0.4784688995215311,0.5305164319248826,0.3794118457608126,0.6205881542391873,0.44379893070527965,0.5620415347348893,-0.03466996881625145,0.031525102810006644,0.031525102810006644,underdog,0,0
2025-10-22,Orlando,Miami,8.5,random_forest,Home Favorite,0.3794118457608126,0.0,0,True,43,2025-10-22,Orlando,Miami,100,-103,0.5,0.5073891625615764,0.3794118457608126,0.6205881542391873,0.45779414601628443,0.5470088096487402,-0.04220585398371557,0.03961964708716381,0.03961964708716381,underdog,0,1
2025-10-22,Atlanta,Toronto,5.5,random_forest,Home Favorite,0.3794118457608126,0.0,0,True,43,2025-10-22,Atlanta,Toronto,-101,100,0.5024875621890548,0.5,0.3794118457608126,0.6205881542391873,0.45941106143917,0.5422058539837156,-0.04307650074988478,0.04220585398371557,0.04220585398371557,underdog,0,1
2025-10-22,Boston,Philadelphia,4.5,random_forest,Home Favorite,0.3794118457608126,0.0,0,True,43,2025-10-22,Boston,Philadelphia,-104,101,0.5098039215686274,0.4975124378109453,0.3794118457608126,0.6205881542391873,0.46416669503589225,0.54058893856083,-0.045637226532735164,0.04307650074988473,0.04307650074988473,underdog,0,1
2025-10-22,Detroit,Chicago,2.5,random_forest,Away Favorite,0.4198373827397742,0.0,0,True,43,2025-10-22,Detroit,Chicago,-105,100,0.5121951219512195,0.5,0.4198373827397742,0.5801626172602258,0.4798699132272137,0.5280569160410791,-0.03232520872400585,0.028056916041079072,0.028056916041079072,underdog,0,1
2025-10-22,Memphis,New Orleans,3.5,random_forest,Home Favorite,0.3794118457608126,0.0,1,False,43,2025-10-22,Memphis,New Orleans,-110,-110,0.5238095238095238,0.5238095238095238,0.3794118457608126,0.6205881542391873,0.47327033649247485,0.557682044459906,-0.050539187317048984,0.033872520650382154,0.033872520650382154,underdog,0,0
2025-10-22,Milwaukee,Washington,10.5,random_forest,Home Favorite,0.3794118457608126,0.0,1,False,43,2025-10-22,Milwaukee,Washington,105,-117,0.4878048780487805,0.5391705069124424,0.3794118457608126,0.6205881542391873,0.44986731674799174,0.5676666834768032,-0.037937561300788736,0.028496176564360765,0.028496176564360765,underdog,0,0
2025-10-22,La Clippers,Utah,9.5,random_forest,Away Favorite,0.4198373827397742,0.0,0,True,43,2025-10-22,La Clippers,Utah,-110,-110,0.5238095238095238,0.5238095238095238,0.4198373827397742,0.5801626172602258,0.48741927443511146,0.5435331065172695,-0.036390249374412376,0.019723582707745657,0.019723582707745657,underdog,0,1
2025-10-22,Dallas,San Antonio,2.5,random_forest,Home Favorite,0.3794118457608126,0.0,0,True,43,2025-10-22,Dallas,San Antonio,-110,-110,0.5238095238095238,0.5238095238095238,0.3794118457608126,0.6205881542391873,0.47327033649247485,0.557682044459906,-0.050539187317048984,0.033872520650382154,0.033872520650382154,underdog,0,1
2025-10-22,Phoenix,Sacramento,4.5,random_forest,Home Favorite,0.3794118457608126,0.0,0,True,43,2025-10-22,Phoenix,Sacramento,104,-108,0.49019607843137253,0.5192307692307693,0.3794118457608126,0.6205881542391873,0.4514215969966765,0.5547058539837155,-0.03877448143469603,0.03547508475294625,0.03547508475294625,underdog,0,1
2025-10-22,Minnesota,Portland,4.5,random_forest,Away Favorite,0.4198373827397742,0.0,0,True,43,2025-10-22,Minnesota,Portland,-110,-110,0.5238095238095238,0.5238095238095238,0.4198373827397742,0.5801626172602258,0.48741927443511146,0.5435331065172695,-0.036390249374412376,0.019723582707745657,0.019723582707745657,underdog,0,1
2025-10-23,Okla City,Indiana,8.5,random_forest,Away Favorite,0.3700051494806241,0.0,0,True,43,2025-10-23,Okla City,Indiana,-110,-110,0.5238095238095238,0.5238095238095238,0.3700051494806241,0.629994850519376,0.4699779927944089,0.5609743881579721,-0.05383153101511495,0.037164864348448234,0.037164864348448234,underdog,0,1
