Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-09,Charlotte,Detroit,104,110,Detroit,STATUS_FINAL
2026-02-09,Brooklyn,Chicago,123,115,Brooklyn,STATUS_FINAL
2026-02-09,Miami,Utah,111,115,Utah,STATUS_FINAL
2026-02-09,Orlando,Milwaukee,118,99,Orlando,STATUS_FINAL
2026-02-09,Minnesota,Atlanta,138,116,Minnesota,STATUS_FINAL
2026-02-09,New Orleans,Sacramento,120,94,New Orleans,STATUS_FINAL
2026-02-09,Denver,Cleveland,117,119,Cleveland,STATUS_FINAL
2026-02-09,Golden State,Memphis,114,113,Golden State,STATUS_FINAL
2026-02-09,Los Angeles,Oklahoma City,110,119,Oklahoma City,STATUS_FINAL
2026-02-09,Portland,Philadelphia,135,118,Portland,STATUS_FINAL
