Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-27,Indiana,LA,113,114,LA,STATUS_FINAL
2026-03-27,Boston,Atlanta,109,102,Boston,STATUS_FINAL
2026-03-27,Cleveland,Miami,149,128,Cleveland,STATUS_FINAL
2026-03-27,Memphis,Houston,109,119,Houston,STATUS_FINAL
2026-03-27,Oklahoma City,Chicago,131,113,Oklahoma City,STATUS_FINAL
2026-03-27,Toronto,New Orleans,119,106,Toronto,STATUS_FINAL
2026-03-27,Denver,Utah,135,129,Denver,STATUS_FINAL
2026-03-27,Golden State,Washington,131,126,Golden State,STATUS_FINAL
2026-03-27,Portland,Dallas,93,100,Dallas,STATUS_FINAL
2026-03-27,Los Angeles,Brooklyn,116,99,Los Angeles,STATUS_FINAL
