Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-03,Charlotte,Dallas,117,90,Charlotte,STATUS_FINAL
2026-03-03,Cleveland,Detroit,113,109,Cleveland,STATUS_FINAL
2026-03-03,Orlando,Washington,126,109,Orlando,STATUS_FINAL
2026-03-03,Miami,Brooklyn,124,98,Miami,STATUS_FINAL
2026-03-03,Toronto,New York,95,111,New York,STATUS_FINAL
2026-03-03,Philadelphia,San Antonio,91,131,San Antonio,STATUS_FINAL
2026-03-03,Chicago,Oklahoma City,108,116,Oklahoma City,STATUS_FINAL
2026-03-03,Minnesota,Memphis,117,110,Minnesota,STATUS_FINAL
2026-03-03,Los Angeles,New Orleans,110,101,Los Angeles,STATUS_FINAL
2026-03-03,Sacramento,Phoenix,103,114,Phoenix,STATUS_FINAL
