Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-24,Indiana,Detroit,117,122,Detroit,STATUS_FINAL
2025-11-24,Toronto,Cleveland,110,99,Toronto,STATUS_FINAL
2025-11-24,Brooklyn,New York,100,113,New York,STATUS_FINAL
2025-11-24,Miami,Dallas,106,102,Miami,STATUS_FINAL
2025-11-24,Memphis,Denver,115,125,Denver,STATUS_FINAL
2025-11-24,Milwaukee,Portland,103,115,Portland,STATUS_FINAL
2025-11-24,New Orleans,Chicago,143,130,New Orleans,STATUS_FINAL
2025-11-24,Phoenix,Houston,92,114,Houston,STATUS_FINAL
2025-11-24,Golden State,Utah,134,117,Golden State,STATUS_FINAL
2025-11-24,Sacramento,Minnesota,117,112,Sacramento,STATUS_FINAL
