Date,Home,Away,Home Score,Away Score,Winner,Status
2025-12-05,Boston,Los Angeles,126,105,Boston,STATUS_FINAL
2025-12-05,Orlando,Miami,106,105,Orlando,STATUS_FINAL
2025-12-05,Atlanta,Denver,133,134,Denver,STATUS_FINAL
2025-12-05,Cleveland,San Antonio,130,117,Cleveland,STATUS_FINAL
2025-12-05,Detroit,Portland,122,116,Detroit,STATUS_FINAL
2025-12-05,New York,Utah,146,112,New York,STATUS_FINAL
2025-12-05,Toronto,Charlotte,86,111,Charlotte,STATUS_FINAL
2025-12-05,Chicago,Indiana,105,120,Indiana,STATUS_FINAL
2025-12-05,Houston,Phoenix,117,98,Houston,STATUS_FINAL
2025-12-05,Memphis,LA,107,98,Memphis,STATUS_FINAL
2025-12-05,Milwaukee,Philadelphia,101,116,Philadelphia,STATUS_FINAL
2025-12-05,Oklahoma City,Dallas,132,111,Oklahoma City,STATUS_FINAL
