Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-03,Detroit,Denver,124,121,Detroit,STATUS_FINAL
2026-02-03,Indiana,Utah,122,131,Utah,STATUS_FINAL
2026-02-03,Washington,New York,101,132,New York,STATUS_FINAL
2026-02-03,Brooklyn,Los Angeles,109,125,Los Angeles,STATUS_FINAL
2026-02-03,Miami,Atlanta,115,127,Atlanta,STATUS_FINAL
2026-02-03,Dallas,Boston,100,110,Boston,STATUS_FINAL
2026-02-03,Milwaukee,Chicago,131,115,Milwaukee,STATUS_FINAL
2026-02-03,Oklahoma City,Orlando,128,92,Oklahoma City,STATUS_FINAL
2026-02-03,Golden State,Philadelphia,94,113,Philadelphia,STATUS_FINAL
2026-02-03,Portland,Phoenix,125,130,Phoenix,STATUS_FINAL
