Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-02,Indiana,San Antonio,113,123,San Antonio,STATUS_FINAL
2026-01-02,Washington,Brooklyn,119,99,Washington,STATUS_FINAL
2026-01-02,Cleveland,Denver,113,108,Cleveland,STATUS_FINAL
2026-01-02,New York,Atlanta,99,111,Atlanta,STATUS_FINAL
2026-01-02,Chicago,Orlando,121,114,Chicago,STATUS_FINAL
2026-01-02,Milwaukee,Charlotte,122,121,Milwaukee,STATUS_FINAL
2026-01-02,New Orleans,Portland,109,122,Portland,STATUS_FINAL
2026-01-02,Phoenix,Sacramento,129,102,Phoenix,STATUS_FINAL
2026-01-02,Golden State,Oklahoma City,94,131,Oklahoma City,STATUS_FINAL
2026-01-02,Los Angeles,Memphis,128,121,Los Angeles,STATUS_FINAL
