Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-26,Indiana,Charlotte,109,133,Charlotte,STATUS_FINAL
2026-02-26,Philadelphia,Miami,124,117,Philadelphia,STATUS_FINAL
2026-02-26,Atlanta,Washington,126,96,Atlanta,STATUS_FINAL
2026-02-26,Brooklyn,San Antonio,110,126,San Antonio,STATUS_FINAL
2026-02-26,Orlando,Houston,108,113,Houston,STATUS_FINAL
2026-02-26,Chicago,Portland,112,121,Portland,STATUS_FINAL
2026-02-26,Dallas,Sacramento,121,130,Sacramento,STATUS_FINAL
2026-02-26,Phoenix,Los Angeles,113,110,Phoenix,STATUS_FINAL
2026-02-26,Utah,New Orleans,118,129,New Orleans,STATUS_FINAL
2026-02-26,LA,Minnesota,88,94,Minnesota,STATUS_FINAL
