Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-12,Charlotte,Milwaukee,111,100,Charlotte,STATUS_FINAL
2025-11-12,Detroit,Chicago,124,113,Detroit,STATUS_FINAL
2025-11-12,New York,Orlando,107,124,Orlando,STATUS_FINAL
2025-11-12,Boston,Memphis,131,95,Boston,STATUS_FINAL
2025-11-12,Miami,Cleveland,116,130,Cleveland,STATUS_FINAL
2025-11-12,Houston,Washington,135,112,Houston,STATUS_FINAL
2025-11-12,New Orleans,Portland,117,125,Portland,STATUS_FINAL
2025-11-12,San Antonio,Golden State,120,125,Golden State,STATUS_FINAL
2025-11-12,Dallas,Phoenix,114,123,Phoenix,STATUS_FINAL
2025-11-12,Oklahoma City,Los Angeles,121,92,Oklahoma City,STATUS_FINAL
2025-11-12,Sacramento,Atlanta,100,133,Atlanta,STATUS_FINAL
2025-11-12,LA,Denver,116,130,Denver,STATUS_FINAL
