Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-05,Cleveland,Philadelphia,132,121,Cleveland,STATUS_FINAL
2025-11-05,Detroit,Utah,114,103,Detroit,STATUS_FINAL
2025-11-05,Indiana,Brooklyn,103,112,Brooklyn,STATUS_FINAL
2025-11-05,Boston,Washington,136,107,Boston,STATUS_FINAL
2025-11-05,New York,Minnesota,137,114,New York,STATUS_FINAL
2025-11-05,Memphis,Houston,109,124,Houston,STATUS_FINAL
2025-11-05,Dallas,New Orleans,99,101,New Orleans,STATUS_FINAL
2025-11-05,Denver,Miami,122,112,Denver,STATUS_FINAL
2025-11-05,Los Angeles,San Antonio,118,116,Los Angeles,STATUS_FINAL
2025-11-05,Portland,Oklahoma City,121,119,Portland,STATUS_FINAL
2025-11-05,Sacramento,Golden State,121,116,Sacramento,STATUS_FINAL
