Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-07,Orlando,Boston,123,110,Orlando,STATUS_FINAL
2025-11-07,Washington,Cleveland,114,148,Cleveland,STATUS_FINAL
2025-11-07,Atlanta,Toronto,97,109,Toronto,STATUS_FINAL
2025-11-07,Brooklyn,Detroit,107,125,Detroit,STATUS_FINAL
2025-11-07,San Antonio,Houston,121,110,San Antonio,STATUS_FINAL
2025-11-07,Miami,Charlotte,126,108,Miami,STATUS_FINAL
2025-11-07,Memphis,Dallas,118,104,Memphis,STATUS_FINAL
2025-11-07,Milwaukee,Chicago,126,110,Milwaukee,STATUS_FINAL
2025-11-07,Minnesota,Utah,137,97,Minnesota,STATUS_FINAL
2025-11-07,Denver,Golden State,129,104,Denver,STATUS_FINAL
2025-11-07,Sacramento,Oklahoma City,101,132,Oklahoma City,STATUS_FINAL
