Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-30,Utah,Houston,101,129,Houston,STATUS_FINAL
2025-11-30,Cleveland,Boston,115,117,Boston,STATUS_FINAL
2025-11-30,New York,Toronto,116,94,New York,STATUS_FINAL
2025-11-30,Philadelphia,Atlanta,134,142,Atlanta,STATUS_FINAL
2025-11-30,Portland,Oklahoma City,115,123,Oklahoma City,STATUS_FINAL
2025-11-30,Minnesota,San Antonio,125,112,Minnesota,STATUS_FINAL
2025-11-30,Sacramento,Memphis,107,115,Memphis,STATUS_FINAL
2025-11-30,Los Angeles,New Orleans,133,121,Los Angeles,STATUS_FINAL
