Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-01,Boston,Milwaukee,107,79,Boston,STATUS_FINAL
2026-02-01,Detroit,Brooklyn,130,77,Detroit,STATUS_FINAL
2026-02-01,Miami,Chicago,134,91,Miami,STATUS_FINAL
2026-02-01,Toronto,Utah,107,100,Toronto,STATUS_FINAL
2026-02-01,Washington,Sacramento,116,112,Washington,STATUS_FINAL
2026-02-01,New York,Los Angeles,112,100,New York,STATUS_FINAL
2026-02-01,Phoenix,LA,93,117,LA,STATUS_FINAL
2026-02-01,San Antonio,Orlando,112,103,San Antonio,STATUS_FINAL
2026-02-01,Portland,Cleveland,111,130,Cleveland,STATUS_FINAL
2026-02-01,Denver,Oklahoma City,111,121,Oklahoma City,STATUS_FINAL
