Date,Home,Away,Home Score,Away Score,Winner,Status
2025-12-18,Charlotte,Atlanta,133,126,Charlotte,STATUS_FINAL
2025-12-18,Indiana,New York,113,114,New York,STATUS_FINAL
2025-12-18,Brooklyn,Miami,95,106,Miami,STATUS_FINAL
2025-12-18,Oklahoma City,LA,122,101,Oklahoma City,STATUS_FINAL
2025-12-18,San Antonio,Washington,119,94,San Antonio,STATUS_FINAL
2025-12-18,Milwaukee,Toronto,105,111,Toronto,STATUS_FINAL
2025-12-18,New Orleans,Houston,133,128,New Orleans,STATUS_FINAL
2025-12-18,Dallas,Detroit,116,114,Dallas,STATUS_FINAL
2025-12-18,Denver,Orlando,126,115,Denver,STATUS_FINAL
2025-12-18,Phoenix,Golden State,99,98,Phoenix,STATUS_FINAL
2025-12-18,Utah,Los Angeles,135,143,Los Angeles,STATUS_FINAL
2025-12-18,Portland,Sacramento,134,133,Portland,STATUS_FINAL
