Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-22,Orlando,Charlotte,97,124,Charlotte,STATUS_FINAL
2026-01-22,Philadelphia,Houston,128,122,Philadelphia,STATUS_FINAL
2026-01-22,Washington,Denver,97,107,Denver,STATUS_FINAL
2026-01-22,Dallas,Golden State,123,115,Dallas,STATUS_FINAL
2026-01-22,Minnesota,Chicago,115,120,Chicago,STATUS_FINAL
2026-01-22,Utah,San Antonio,109,126,San Antonio,STATUS_FINAL
2026-01-22,LA,Los Angeles,112,104,LA,STATUS_FINAL
2026-01-22,Portland,Miami,127,110,Portland,STATUS_FINAL
