Date,Home,Away,Home Score,Away Score,Winner,Status
2025-12-23,Charlotte,Washington,126,109,Charlotte,STATUS_FINAL
2025-12-23,Philadelphia,Brooklyn,106,114,Brooklyn,STATUS_FINAL
2025-12-23,Atlanta,Chicago,123,126,Chicago,STATUS_FINAL
2025-12-23,Cleveland,New Orleans,141,118,Cleveland,STATUS_FINAL
2025-12-23,Indiana,Milwaukee,94,111,Milwaukee,STATUS_FINAL
2025-12-23,Miami,Toronto,91,112,Toronto,STATUS_FINAL
2025-12-23,Dallas,Denver,131,130,Dallas,STATUS_FINAL
2025-12-23,Minnesota,New York,115,104,Minnesota,STATUS_FINAL
2025-12-23,San Antonio,Oklahoma City,130,110,San Antonio,STATUS_FINAL
2025-12-23,Phoenix,Los Angeles,132,108,Phoenix,STATUS_FINAL
2025-12-23,Utah,Memphis,128,137,Memphis,STATUS_FINAL
2025-12-23,Portland,Orlando,106,110,Orlando,STATUS_FINAL
2025-12-23,Sacramento,Detroit,127,136,Detroit,STATUS_FINAL
2025-12-23,LA,Houston,128,108,LA,STATUS_FINAL
