Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-11,Orlando,New Orleans,128,118,Orlando,STATUS_FINAL
2026-01-11,Memphis,Brooklyn,103,98,Memphis,STATUS_FINAL
2026-01-11,Toronto,Philadelphia,116,115,Toronto,STATUS_FINAL
2026-01-11,Portland,New York,114,123,New York,STATUS_FINAL
2026-01-11,Minnesota,San Antonio,104,103,Minnesota,STATUS_FINAL
2026-01-11,Oklahoma City,Miami,124,112,Oklahoma City,STATUS_FINAL
2026-01-11,Denver,Milwaukee,108,104,Denver,STATUS_FINAL
2026-01-11,Phoenix,Washington,112,93,Phoenix,STATUS_FINAL
2026-01-11,Golden State,Atlanta,111,124,Atlanta,STATUS_FINAL
2026-01-11,Sacramento,Houston,111,98,Sacramento,STATUS_FINAL
