Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-08,Cleveland,Boston,98,109,Boston,STATUS_FINAL
2026-03-08,Los Angeles,New York,110,97,Los Angeles,STATUS_FINAL
2026-03-08,Miami,Detroit,121,110,Miami,STATUS_FINAL
2026-03-08,Toronto,Dallas,122,92,Toronto,STATUS_FINAL
2026-03-08,New Orleans,Washington,138,118,New Orleans,STATUS_FINAL
2026-03-08,Milwaukee,Orlando,91,130,Orlando,STATUS_FINAL
2026-03-08,San Antonio,Houston,145,120,San Antonio,STATUS_FINAL
2026-03-08,Portland,Indiana,131,111,Portland,STATUS_FINAL
2026-03-08,Sacramento,Chicago,126,110,Sacramento,STATUS_FINAL
2026-03-08,Phoenix,Charlotte,111,99,Phoenix,STATUS_FINAL
