Date,Home,Away,Home Score,Away Score,Winner,Status
2026-04-10,Charlotte,Detroit,100,118,Detroit,STATUS_FINAL
2026-04-10,Washington,Miami,117,140,Miami,STATUS_FINAL
2026-04-10,Atlanta,Cleveland,124,102,Atlanta,STATUS_FINAL
2026-04-10,Boston,New Orleans,144,118,Boston,STATUS_FINAL
2026-04-10,Indiana,Philadelphia,94,105,Philadelphia,STATUS_FINAL
2026-04-10,New York,Toronto,112,95,New York,STATUS_FINAL
2026-04-10,Chicago,Orlando,103,127,Orlando,STATUS_FINAL
2026-04-10,Milwaukee,Brooklyn,125,108,Milwaukee,STATUS_FINAL
2026-04-10,San Antonio,Dallas,139,120,San Antonio,STATUS_FINAL
2026-04-10,Denver,Oklahoma City,127,107,Denver,STATUS_FINAL
2026-04-10,Houston,Minnesota,132,136,Minnesota,STATUS_FINAL
2026-04-10,Utah,Memphis,147,101,Utah,STATUS_FINAL
2026-04-10,Portland,LA,116,97,Portland,STATUS_FINAL
2026-04-10,Sacramento,Golden State,124,118,Sacramento,STATUS_FINAL
2026-04-10,Los Angeles,Phoenix,101,73,Los Angeles,STATUS_FINAL
