Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-30,Washington,Los Angeles,111,142,Los Angeles,STATUS_FINAL
2026-01-30,Orlando,Toronto,130,120,Orlando,STATUS_FINAL
2026-01-30,Boston,Sacramento,112,93,Boston,STATUS_FINAL
2026-01-30,New York,Portland,127,97,New York,STATUS_FINAL
2026-01-30,New Orleans,Memphis,114,106,New Orleans,STATUS_FINAL
2026-01-30,Phoenix,Cleveland,126,113,Phoenix,STATUS_FINAL
2026-01-30,Denver,LA,122,109,Denver,STATUS_FINAL
2026-01-30,Utah,Brooklyn,99,109,Brooklyn,STATUS_FINAL
2026-01-30,Golden State,Detroit,124,131,Detroit,STATUS_FINAL
