Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-07,Charlotte,Toronto,96,97,Toronto,STATUS_FINAL
2026-01-07,Detroit,Chicago,108,93,Detroit,STATUS_FINAL
2026-01-07,Philadelphia,Washington,131,110,Philadelphia,STATUS_FINAL
2026-01-07,Boston,Denver,110,114,Denver,STATUS_FINAL
2026-01-07,Atlanta,New Orleans,117,100,Atlanta,STATUS_FINAL
2026-01-07,Brooklyn,Orlando,103,104,Orlando,STATUS_FINAL
2026-01-07,New York,LA,123,111,New York,STATUS_FINAL
2026-01-07,Memphis,Phoenix,98,117,Phoenix,STATUS_FINAL
2026-01-07,Oklahoma City,Utah,129,125,Oklahoma City,STATUS_FINAL
2026-01-07,San Antonio,Los Angeles,107,91,San Antonio,STATUS_FINAL
2026-01-07,Golden State,Milwaukee,120,113,Golden State,STATUS_FINAL
2026-01-07,Portland,Houston,103,102,Portland,STATUS_FINAL
