Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-01,New York,San Antonio,114,89,New York,STATUS_FINAL
2026-03-01,Brooklyn,Cleveland,102,106,Cleveland,STATUS_FINAL
2026-03-01,Chicago,Milwaukee,120,97,Chicago,STATUS_FINAL
2026-03-01,Denver,Minnesota,108,117,Minnesota,STATUS_FINAL
2026-03-01,Indiana,Memphis,106,125,Memphis,STATUS_FINAL
2026-03-01,Atlanta,Portland,135,101,Atlanta,STATUS_FINAL
2026-03-01,Orlando,Detroit,92,106,Detroit,STATUS_FINAL
2026-03-01,Boston,Philadelphia,114,98,Boston,STATUS_FINAL
2026-03-01,Dallas,Oklahoma City,87,100,Oklahoma City,STATUS_FINAL
2026-03-01,LA,New Orleans,137,117,LA,STATUS_FINAL
2026-03-01,Los Angeles,Sacramento,128,104,Los Angeles,STATUS_FINAL
