Date,Home,Away,Home Score,Away Score,Winner,Status
2025-12-20,Denver,Houston,101,115,Houston,STATUS_FINAL
2025-12-20,Philadelphia,Dallas,121,114,Philadelphia,STATUS_FINAL
2025-12-20,Toronto,Boston,96,112,Boston,STATUS_FINAL
2025-12-20,New Orleans,Indiana,128,109,New Orleans,STATUS_FINAL
2025-12-20,Detroit,Charlotte,112,86,Detroit,STATUS_FINAL
2025-12-20,Memphis,Washington,122,130,Washington,STATUS_FINAL
2025-12-20,Golden State,Phoenix,119,116,Golden State,STATUS_FINAL
2025-12-20,Utah,Orlando,127,128,Orlando,STATUS_FINAL
2025-12-20,Sacramento,Portland,93,98,Portland,STATUS_FINAL
2025-12-20,LA,Los Angeles,103,88,LA,STATUS_FINAL
