Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-25,Detroit,Atlanta,129,130,Atlanta,STATUS_FINAL
2026-03-25,Indiana,Los Angeles,130,137,Los Angeles,STATUS_FINAL
2026-03-25,Philadelphia,Chicago,157,137,Philadelphia,STATUS_FINAL
2026-03-25,Boston,Oklahoma City,119,109,Boston,STATUS_FINAL
2026-03-25,Cleveland,Miami,103,120,Miami,STATUS_FINAL
2026-03-25,Memphis,San Antonio,98,123,San Antonio,STATUS_FINAL
2026-03-25,Utah,Washington,110,133,Washington,STATUS_FINAL
2026-03-25,Minnesota,Houston,110,108,Minnesota,STATUS_FINAL
2026-03-25,Denver,Dallas,142,135,Denver,STATUS_FINAL
2026-03-25,Golden State,Brooklyn,109,106,Golden State,STATUS_FINAL
2026-03-25,Portland,Milwaukee,130,99,Portland,STATUS_FINAL
2026-03-25,LA,Toronto,119,94,LA,STATUS_FINAL
