Date,Home,Away,Home Score,Away Score,Winner,Status
2025-12-29,Charlotte,Milwaukee,113,123,Milwaukee,STATUS_FINAL
2025-12-29,Washington,Phoenix,101,115,Phoenix,STATUS_FINAL
2025-12-29,Brooklyn,Golden State,107,120,Golden State,STATUS_FINAL
2025-12-29,Miami,Denver,147,123,Miami,STATUS_FINAL
2025-12-29,Toronto,Orlando,107,106,Toronto,STATUS_FINAL
2025-12-29,Chicago,Minnesota,101,136,Minnesota,STATUS_FINAL
2025-12-29,Houston,Indiana,126,119,Houston,STATUS_FINAL
2025-12-29,New Orleans,New York,125,130,New York,STATUS_FINAL
2025-12-29,Oklahoma City,Atlanta,140,129,Oklahoma City,STATUS_FINAL
2025-12-29,San Antonio,Cleveland,101,113,Cleveland,STATUS_FINAL
2025-12-29,Portland,Dallas,125,122,Portland,STATUS_FINAL
