Date,Home,Away,Home Score,Away Score,Winner,Status
2025-10-29,Toronto,Houston,121,139,Houston,STATUS_FINAL
2025-10-29,Boston,Cleveland,125,105,Boston,STATUS_FINAL
2025-10-29,Detroit,Orlando,135,116,Detroit,STATUS_FINAL
2025-10-29,Brooklyn,Atlanta,112,117,Atlanta,STATUS_FINAL
2025-10-29,Chicago,Sacramento,126,113,Chicago,STATUS_FINAL
2025-10-29,Dallas,Indiana,107,105,Dallas,STATUS_FINAL
2025-10-29,Denver,New Orleans,122,88,Denver,STATUS_FINAL
2025-10-29,Utah,Portland,134,136,Portland,STATUS_FINAL
2025-10-29,Minnesota,Los Angeles,115,116,Los Angeles,STATUS_FINAL
2025-10-29,Phoenix,Memphis,113,114,Memphis,STATUS_FINAL
