Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-10,Philadelphia,Memphis,139,129,Philadelphia,STATUS_FINAL
2026-03-10,Brooklyn,Detroit,100,138,Detroit,STATUS_FINAL
2026-03-10,Miami,Washington,150,129,Miami,STATUS_FINAL
2026-03-10,Atlanta,Dallas,124,112,Atlanta,STATUS_FINAL
2026-03-10,Houston,Toronto,113,99,Houston,STATUS_FINAL
2026-03-10,Milwaukee,Phoenix,114,129,Phoenix,STATUS_FINAL
2026-03-10,San Antonio,Boston,125,116,San Antonio,STATUS_FINAL
2026-03-10,Golden State,Chicago,124,130,Chicago,STATUS_FINAL
2026-03-10,Portland,Charlotte,101,103,Charlotte,STATUS_FINAL
2026-03-10,Sacramento,Indiana,114,109,Sacramento,STATUS_FINAL
2026-03-10,Los Angeles,Minnesota,120,106,Los Angeles,STATUS_FINAL
