Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-24,Indiana,Philadelphia,114,135,Philadelphia,STATUS_FINAL
2026-02-24,Atlanta,Washington,119,98,Atlanta,STATUS_FINAL
2026-02-24,Brooklyn,Dallas,114,123,Dallas,STATUS_FINAL
2026-02-24,Toronto,Oklahoma City,107,116,Oklahoma City,STATUS_FINAL
2026-02-24,Cleveland,New York,109,94,Cleveland,STATUS_FINAL
2026-02-24,Chicago,Charlotte,99,131,Charlotte,STATUS_FINAL
2026-02-24,Milwaukee,Miami,128,117,Milwaukee,STATUS_FINAL
2026-02-24,New Orleans,Golden State,113,109,New Orleans,STATUS_FINAL
2026-02-24,Phoenix,Boston,81,97,Boston,STATUS_FINAL
2026-02-24,Portland,Minnesota,121,124,Minnesota,STATUS_FINAL
2026-02-24,Los Angeles,Orlando,109,110,Orlando,STATUS_FINAL
