Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-26,Boston,Detroit,117,114,Boston,STATUS_FINAL
2025-11-26,Charlotte,New York,101,129,New York,STATUS_FINAL
2025-11-26,Miami,Milwaukee,106,103,Miami,STATUS_FINAL
2025-11-26,Toronto,Indiana,97,95,Toronto,STATUS_FINAL
2025-11-26,Oklahoma City,Minnesota,113,105,Oklahoma City,STATUS_FINAL
2025-11-26,New Orleans,Memphis,128,133,Memphis,STATUS_FINAL
2025-11-26,Golden State,Houston,100,104,Houston,STATUS_FINAL
2025-11-26,Portland,San Antonio,102,115,San Antonio,STATUS_FINAL
2025-11-26,Sacramento,Phoenix,100,112,Phoenix,STATUS_FINAL
