Date,Home,Away,Home Score,Away Score,Winner,Status
2026-04-05,Boston,Toronto,115,101,Boston,STATUS_FINAL
2026-04-05,Brooklyn,Washington,121,115,Brooklyn,STATUS_FINAL
2026-04-05,Chicago,Phoenix,110,120,Phoenix,STATUS_FINAL
2026-04-05,Milwaukee,Memphis,131,115,Milwaukee,STATUS_FINAL
2026-04-05,Cleveland,Indiana,117,108,Cleveland,STATUS_FINAL
2026-04-05,Minnesota,Charlotte,108,122,Charlotte,STATUS_FINAL
2026-04-05,New Orleans,Orlando,108,112,Orlando,STATUS_FINAL
2026-04-05,Oklahoma City,Utah,146,111,Oklahoma City,STATUS_FINAL
2026-04-05,Dallas,Los Angeles,134,128,Dallas,STATUS_FINAL
2026-04-05,Sacramento,LA,109,138,LA,STATUS_FINAL
2026-04-05,Golden State,Houston,116,117,Houston,STATUS_FINAL
