Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-02,Oklahoma City,New Orleans,137,106,Oklahoma City,STATUS_FINAL
2025-11-02,Brooklyn,Philadelphia,105,129,Philadelphia,STATUS_FINAL
2025-11-02,Charlotte,Utah,126,103,Charlotte,STATUS_FINAL
2025-11-02,Cleveland,Atlanta,117,109,Cleveland,STATUS_FINAL
2025-11-02,Toronto,Memphis,117,104,Toronto,STATUS_FINAL
2025-11-02,New York,Chicago,128,116,New York,STATUS_FINAL
2025-11-02,Phoenix,San Antonio,130,118,Phoenix,STATUS_FINAL
2025-11-02,Los Angeles,Miami,130,120,Los Angeles,STATUS_FINAL
