Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-03,Miami,Minnesota,115,125,Minnesota,STATUS_FINAL
2026-01-03,New York,Philadelphia,119,130,Philadelphia,STATUS_FINAL
2026-01-03,Toronto,Atlanta,134,117,Toronto,STATUS_FINAL
2026-01-03,Chicago,Charlotte,99,112,Charlotte,STATUS_FINAL
2026-01-03,San Antonio,Portland,110,115,Portland,STATUS_FINAL
2026-01-03,Dallas,Houston,110,104,Dallas,STATUS_FINAL
2026-01-03,Golden State,Utah,123,114,Golden State,STATUS_FINAL
2026-01-03,LA,Boston,115,146,Boston,STATUS_FINAL
