Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-07,Brooklyn,Washington,127,113,Brooklyn,STATUS_FINAL
2026-02-07,Oklahoma City,Houston,106,112,Houston,STATUS_FINAL
2026-02-07,San Antonio,Dallas,138,125,San Antonio,STATUS_FINAL
2026-02-07,Orlando,Utah,120,117,Orlando,STATUS_FINAL
2026-02-07,Atlanta,Charlotte,119,126,Charlotte,STATUS_FINAL
2026-02-07,Chicago,Denver,120,136,Denver,STATUS_FINAL
2026-02-07,Los Angeles,Golden State,105,99,Los Angeles,STATUS_FINAL
2026-02-07,Phoenix,Philadelphia,103,109,Philadelphia,STATUS_FINAL
2026-02-07,Portland,Memphis,122,115,Portland,STATUS_FINAL
2026-02-07,Sacramento,Cleveland,126,132,Cleveland,STATUS_FINAL
