Date,Home,Away,Home Score,Away Score,Winner,Status
2025-11-23,Philadelphia,Miami,117,127,Miami,STATUS_FINAL
2025-11-23,Atlanta,Charlotte,113,110,Atlanta,STATUS_FINAL
2025-11-23,Boston,Orlando,138,129,Boston,STATUS_FINAL
2025-11-23,Cleveland,LA,120,105,Cleveland,STATUS_FINAL
2025-11-23,Toronto,Brooklyn,119,109,Toronto,STATUS_FINAL
2025-11-23,Oklahoma City,Portland,122,95,Oklahoma City,STATUS_FINAL
2025-11-23,Phoenix,San Antonio,111,102,Phoenix,STATUS_FINAL
2025-11-23,Utah,Los Angeles,106,108,Los Angeles,STATUS_FINAL
