Date,Home,Away,Home Score,Away Score,Winner,Status
2026-01-09,Boston,Toronto,125,117,Boston,STATUS_FINAL
2026-01-09,Orlando,Philadelphia,91,103,Philadelphia,STATUS_FINAL
2026-01-09,Washington,New Orleans,107,128,New Orleans,STATUS_FINAL
2026-01-09,Brooklyn,LA,105,121,LA,STATUS_FINAL
2026-01-09,Memphis,Oklahoma City,116,117,Oklahoma City,STATUS_FINAL
2026-01-09,Denver,Atlanta,87,110,Atlanta,STATUS_FINAL
2026-01-09,Phoenix,New York,112,107,Phoenix,STATUS_FINAL
2026-01-09,Golden State,Sacramento,137,103,Golden State,STATUS_FINAL
2026-01-09,Portland,Houston,111,105,Portland,STATUS_FINAL
2026-01-09,Los Angeles,Milwaukee,101,105,Milwaukee,STATUS_FINAL
