Date,Home,Away,Home Score,Away Score,Winner,Status
2026-04-07,Washington,Chicago,98,129,Chicago,STATUS_FINAL
2026-04-07,Indiana,Minnesota,104,124,Minnesota,STATUS_FINAL
2026-04-07,Brooklyn,Milwaukee,96,90,Brooklyn,STATUS_FINAL
2026-04-07,Toronto,Miami,121,95,Toronto,STATUS_FINAL
2026-04-07,Boston,Charlotte,113,102,Boston,STATUS_FINAL
2026-04-07,New Orleans,Utah,156,137,New Orleans,STATUS_FINAL
2026-04-07,Golden State,Sacramento,110,105,Golden State,STATUS_FINAL
2026-04-07,Los Angeles,Oklahoma City,87,123,Oklahoma City,STATUS_FINAL
2026-04-07,LA,Dallas,116,103,LA,STATUS_FINAL
2026-04-07,Phoenix,Houston,105,119,Houston,STATUS_FINAL
