Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-22,Oklahoma City,Cleveland,121,113,Oklahoma City,STATUS_FINAL
2026-02-22,Atlanta,Brooklyn,115,104,Atlanta,STATUS_FINAL
2026-02-22,Milwaukee,Toronto,94,122,Toronto,STATUS_FINAL
2026-02-22,Golden State,Denver,128,117,Golden State,STATUS_FINAL
2026-02-22,Indiana,Dallas,130,134,Dallas,STATUS_FINAL
2026-02-22,Washington,Charlotte,112,129,Charlotte,STATUS_FINAL
2026-02-22,Los Angeles,Boston,89,111,Boston,STATUS_FINAL
2026-02-22,Minnesota,Philadelphia,108,135,Philadelphia,STATUS_FINAL
2026-02-22,Chicago,New York,99,105,New York,STATUS_FINAL
2026-02-22,Phoenix,Portland,77,92,Portland,STATUS_FINAL
2026-02-22,LA,Orlando,109,111,Orlando,STATUS_FINAL
