Date,Home,Away,Home Score,Away Score,Winner,Status
2026-03-21,Washington,Oklahoma City,111,132,Oklahoma City,STATUS_FINAL
2026-03-21,Charlotte,Memphis,124,101,Charlotte,STATUS_FINAL
2026-03-21,Orlando,Los Angeles,104,105,Los Angeles,STATUS_FINAL
2026-03-21,New Orleans,Cleveland,106,111,Cleveland,STATUS_FINAL
2026-03-21,Atlanta,Golden State,126,110,Atlanta,STATUS_FINAL
2026-03-21,Houston,Miami,123,122,Houston,STATUS_FINAL
2026-03-21,San Antonio,Indiana,134,119,San Antonio,STATUS_FINAL
2026-03-21,Dallas,LA,131,138,LA,STATUS_FINAL
2026-03-21,Utah,Philadelphia,116,126,Philadelphia,STATUS_FINAL
2026-03-21,Phoenix,Milwaukee,105,108,Milwaukee,STATUS_FINAL
