Date,Home,Away,Home Score,Away Score,Winner,Status
2026-02-11,Charlotte,Atlanta,110,107,Charlotte,STATUS_FINAL
2026-02-11,Cleveland,Washington,138,113,Cleveland,STATUS_FINAL
2026-02-11,Orlando,Milwaukee,108,116,Milwaukee,STATUS_FINAL
2026-02-11,Boston,Chicago,124,105,Boston,STATUS_FINAL
2026-02-11,Brooklyn,Indiana,110,115,Indiana,STATUS_FINAL
2026-02-11,Philadelphia,New York,89,138,New York,STATUS_FINAL
2026-02-11,Toronto,Detroit,95,113,Detroit,STATUS_FINAL
2026-02-11,Houston,LA,102,105,LA,STATUS_FINAL
2026-02-11,Minnesota,Portland,133,109,Minnesota,STATUS_FINAL
2026-02-11,New Orleans,Miami,111,123,Miami,STATUS_FINAL
2026-02-11,Phoenix,Oklahoma City,109,136,Oklahoma City,STATUS_FINAL
2026-02-11,Utah,Sacramento,121,93,Utah,STATUS_FINAL
2026-02-11,Denver,Memphis,122,116,Denver,STATUS_FINAL
2026-02-11,Golden State,San Antonio,113,126,San Antonio,STATUS_FINAL
