fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DET,CHI,-10.5,10.5,0.537,0.508,-116,-103,1,2026-01-07T19:05:00-05:00,DET -10.5,2026-01-07T17:49:40.018+00:00
NYK,LAC,-4.5,4.5,0.507,0.51,-103,-104,0,2026-01-07T19:35:00-05:00,NYK -4.5,2026-01-07T17:38:20.338+00:00
TOR,CHA,-1.5,1.5,0.505,0.503,-102,-101,0,2026-01-07T19:05:00-05:00,CHA +1.5,2026-01-07T17:46:07.862+00:00
GSW,MIL,-5.5,5.5,0.525,0.493,-111,+103,0,2026-01-07T22:05:00-05:00,GSW -5.5,2026-01-07T17:48:08.779+00:00
OKC,UTA,-18.5,18.5,0.506,0.512,-102,-105,0,2026-01-07T20:05:00-05:00,OKC -18.5,2026-01-07T17:47:14.115+00:00
BOS,DEN,-9.5,9.5,0.507,0.548,-103,-121,1,2026-01-07T19:05:00-05:00,BOS -9.5,2026-01-07T17:49:58.065+00:00
ORL,BKN,-2.5,2.5,0.486,0.529,+106,-112,0,2026-01-07T19:35:00-05:00,BKN +2.5,2026-01-07T17:47:57.807+00:00
HOU,POR,-6.5,6.5,0.518,0.485,-107,+106,0,2026-01-07T22:05:00-05:00,POR +6.5,2026-01-07T17:49:59.93+00:00
SAS,LAL,-7.5,7.5,0.532,0.478,-114,+109,0,2026-01-07T21:35:00-05:00,SAS -7.5,2026-01-07T17:49:24.536+00:00
ATL,NOP,-10.5,10.5,0.493,0.521,+103,-109,1,2026-01-07T19:35:00-05:00,ATL -10.5,2026-01-07T17:27:20.203+00:00
PHI,WAS,-13.5,13.5,0.525,0.497,-111,+101,1,2026-01-07T19:05:00-05:00,PHI -13.5,2026-01-07T17:47:58.317+00:00
PHX,MEM,-4.5,4.5,0.506,0.512,-102,-105,0,2026-01-07T20:05:00-05:00,MEM +4.5,2026-01-07T17:44:59.6+00:00
