fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CLE,CHI,-6.5,6.5,0.532,0.476,-114,+110,1,2025-12-19T19:35:00-05:00,CLE -6.5,2025-12-19T17:38:03.814+00:00
NYK,PHI,-3.5,3.5,0.522,0.495,-109,+102,0,2025-12-19T19:05:00-05:00,NYK -3.5,2025-12-19T17:38:03.814+00:00
OKC,MIN,-6.5,6.5,0.52,0.497,-108,+101,0,2025-12-19T21:35:00-05:00,MIN +6.5,2025-12-19T17:27:35.082+00:00
BOS,MIA,-6.5,6.5,0.5,0.521,+100,-109,1,2025-12-19T19:05:00-05:00,BOS -6.5,2025-12-19T17:31:11.743+00:00
SAS,ATL,-2.5,2.5,0.493,0.514,+103,-106,0,2025-12-19T19:35:00-05:00,ATL +2.5,2025-12-19T17:36:21.168+00:00
