fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CHA,MIA,-8.5,8.5,0.477,0.539,+110,-117,1,2026-03-06T19:05:00-05:00,CHA -8.5,2026-03-06T18:12:06.949+00:00
HOU,POR,-6.5,6.5,0.493,0.529,+103,-112,1,2026-03-06T20:05:00-05:00,HOU -6.5,2026-03-06T18:13:24.476+00:00
NYK,DEN,-1.5,1.5,0.507,0.502,-103,-101,0,2026-03-06T21:05:00-05:00,DEN +1.5,2026-03-06T18:09:53.831+00:00
PHX,NOP,-5.5,5.5,0.491,0.52,+104,-108,0,2026-03-06T21:05:00-05:00,PHX -5.5,2026-03-06T18:09:02.131+00:00
LAL,IND,-9.5,9.5,0.488,0.519,+105,-108,0,2026-03-06T22:35:00-05:00,LAL -9.5,2026-03-06T18:12:59.705+00:00
SAS,LAC,-6.5,6.5,0.524,0.493,-110,+103,0,2026-03-06T21:35:00-05:00,SAS -6.5,2026-03-06T18:13:15.454+00:00
BOS,DAL,-15.5,15.5,0.471,0.551,+112,-123,1,2026-03-06T19:05:00-05:00,BOS -15.5,2026-03-06T18:14:10.096+00:00
