fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
HOU,SAS,-4.5,4.5,0.502,0.515,-101,-106,1,2026-01-20T20:05:00-05:00,HOU -4.5,2026-01-20T19:06:17.179+00:00
GSW,TOR,-3.5,3.5,0.518,0.5,-107,+100,0,2026-01-20T22:05:00-05:00,GSW -3.5,2026-01-20T19:05:14.72+00:00
PHI,PHX,-1.5,1.5,0.475,0.542,+111,-118,1,2026-01-20T19:05:00-05:00,PHI -1.5,2026-01-20T19:05:15.721+00:00
CHI,LAC,-3.5,3.5,0.51,0.498,-104,+101,1,2026-01-20T20:05:00-05:00,CHI -3.5,2026-01-20T19:07:28.783+00:00
MIN,UTA,-12.5,12.5,0.537,0.487,-116,+105,0,2026-01-20T21:05:00-05:00,UTA +12.5,2026-01-20T19:07:42.331+00:00
LAL,DEN,-2.5,2.5,0.51,0.502,-104,-101,0,2026-01-20T22:05:00-05:00,DEN +2.5,2026-01-20T19:07:56.193+00:00
MIA,SAC,-3.5,3.5,0.517,0.493,-107,+103,0,2026-01-20T22:05:00-05:00,SAC +3.5,2026-01-20T19:05:23.323+00:00
