fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
ATL,MIA,-3.5,3.5,0.507,0.511,-103,-104,1,2025-12-26T19:05:00-05:00,ATL -3.5,2025-12-26T17:32:30.191+00:00
TOR,WAS,-6.5,6.5,0.533,0.484,-114,+107,0,2025-12-26T19:05:00-05:00,WAS +6.5,2025-12-26T17:25:31.931+00:00
BOS,IND,-8.5,8.5,0.515,0.493,-106,+103,0,2025-12-26T19:05:00-05:00,IND +8.5,2025-12-26T17:36:17.767+00:00
ORL,CHA,-5.5,5.5,0.515,0.501,-106,-100,1,2025-12-26T19:05:00-05:00,ORL -5.5,2025-12-26T17:38:00.564+00:00
PHI,CHI,-1.5,1.5,0.495,0.525,+102,-111,0,2025-12-26T19:35:00-05:00,CHI +1.5,2025-12-26T17:35:16.548+00:00
MEM,MIL,-5.5,5.5,0.51,0.5,-104,+100,1,2025-12-26T20:05:00-05:00,MEM -5.5,2025-12-26T17:36:48.041+00:00
PHX,NOP,-5.5,5.5,0.504,0.508,-102,-103,0,2025-12-26T20:05:00-05:00,NOP +5.5,2025-12-26T17:37:10.573+00:00
DET,UTA,-9.5,9.5,0.521,0.501,-109,-100,0,2025-12-26T21:35:00-05:00,UTA +9.5,2025-12-26T17:39:19.105+00:00
LAC,POR,-1.5,1.5,0.513,0.503,-105,-101,0,2025-12-26T22:05:00-05:00,POR +1.5,2025-12-26T17:39:26.108+00:00
