fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
MIA,BKN,-13.5,13.5,0.486,0.52,+106,-108,1,2026-03-05T19:35:00-05:00,MIA -13.5,2026-03-05T18:37:32.936+00:00
SAS,DET,-3.5,3.5,0.499,0.511,+100,-104,0,2026-03-05T20:05:00-05:00,SAS -3.5,2026-03-05T18:38:25.34+00:00
MIN,TOR,-4.5,4.5,0.527,0.49,-111,+104,1,2026-03-05T20:05:00-05:00,MIN -4.5,2026-03-05T18:36:40.978+00:00
PHX,CHI,-10.5,10.5,0.5,0.51,+100,-104,0,2026-03-05T21:05:00-05:00,PHX -10.5,2026-03-05T18:37:27.408+00:00
ORL,DAL,-9.5,9.5,0.498,0.519,+101,-108,1,2026-03-05T19:05:00-05:00,ORL -9.5,2026-03-05T18:28:49.622+00:00
NOP,SAC,-5.5,5.5,0.521,0.495,-109,+102,0,2026-03-05T22:05:00-05:00,SAC +5.5,2026-03-05T18:37:27.408+00:00
DEN,LAL,-4.5,4.5,0.509,0.5,-104,+100,1,2026-03-05T22:05:00-05:00,DEN -4.5,2026-03-05T18:37:32.936+00:00
WAS,UTA,-4.5,4.5,0.51,0.51,-104,-104,1,2026-03-05T19:05:00-05:00,WAS -4.5,2026-03-05T18:37:33.943+00:00
HOU,GSW,-8.5,8.5,0.51,0.498,-104,+101,1,2026-03-05T19:35:00-05:00,HOU -8.5,2026-03-05T18:38:36.161+00:00
