fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
LAL,IND,-9.5,9.5,0.515,0.501,-106,-100,0,2026-03-25T19:05:00-04:00,IND +9.5,2026-03-25T18:22:05.656+00:00
OKC,BOS,-2.5,2.5,0.488,0.517,+105,-107,0,2026-03-25T19:35:00-04:00,BOS +2.5,2026-03-25T18:22:14.677+00:00
POR,MIL,-12.5,12.5,0.507,0.498,-103,+101,1,2026-03-25T22:05:00-04:00,POR -12.5,2026-03-25T18:22:21.985+00:00
GSW,BKN,-12.5,12.5,0.5,0.51,+100,-104,0,2026-03-25T22:05:00-04:00,GSW -12.5,2026-03-25T18:04:49.842+00:00
LAC,TOR,-3.5,3.5,0.525,0.478,-111,+109,0,2026-03-25T22:35:00-04:00,LAC -3.5,2026-03-25T18:21:24.974+00:00
SAS,MEM,-16.5,16.5,0.514,0.501,-106,-100,0,2026-03-25T20:05:00-04:00,MEM +16.5,2026-03-25T18:18:28.174+00:00
UTA,WAS,-4.5,4.5,0.498,0.517,+101,-107,1,2026-03-25T21:05:00-04:00,UTA -4.5,2026-03-25T18:22:17.837+00:00
DEN,DAL,-11.5,11.5,0.5,0.501,+100,-100,1,2026-03-25T22:05:00-04:00,DEN -11.5,2026-03-25T18:22:21.985+00:00
PHI,CHI,-6.5,6.5,0.508,0.515,-103,-106,1,2026-03-25T19:05:00-04:00,PHI -6.5,2026-03-25T18:20:01.552+00:00
HOU,MIN,-1.5,1.5,0.52,0.492,-108,+103,0,2026-03-25T21:35:00-04:00,MIN +1.5,2026-03-25T18:21:15.245+00:00
CLE,MIA,-2.5,2.5,0.511,0.493,-104,+103,1,2026-03-25T19:35:00-04:00,CLE -2.5,2026-03-25T18:21:03.241+00:00
DET,ATL,-2.5,2.5,0.535,0.478,-115,+109,1,2026-03-25T19:05:00-04:00,DET -2.5,2026-03-25T18:21:22.751+00:00
