fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
MIN,MIA,-2.5,2.5,0.523,0.488,-110,+105,0,2026-01-03T17:05:00-05:00,MIA +2.5,2026-01-03T17:40:39.183+00:00
SAS,POR,-8.5,8.5,0.519,0.502,-108,-101,0,2026-01-03T20:05:00-05:00,SAS -8.5,2026-01-03T17:33:01.301+00:00
TOR,ATL,-3.5,3.5,0.516,0.5,-107,+100,1,2026-01-03T19:35:00-05:00,TOR -3.5,2026-01-03T17:36:42.113+00:00
NYK,PHI,-3.5,3.5,0.492,0.525,+103,-111,0,2026-01-03T19:35:00-05:00,NYK -3.5,2026-01-03T17:40:31.665+00:00
HOU,DAL,-8.5,8.5,0.49,0.531,+104,-113,0,2026-01-03T20:35:00-05:00,DAL +8.5,2026-01-03T17:40:29.602+00:00
GSW,UTA,-12.5,12.5,0.492,0.525,+103,-111,0,2026-01-03T22:05:00-05:00,GSW -12.5,2026-01-03T17:35:48.752+00:00
LAC,BOS,-1.5,1.5,0.507,0.502,-103,-101,0,2026-01-03T22:35:00-05:00,LAC -1.5,2026-01-03T17:37:26.143+00:00
CHI,CHA,-1.5,1.5,0.525,0.496,-111,+102,1,2026-01-03T20:05:00-05:00,CHI -1.5,2026-01-03T17:34:51.053+00:00
