fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
PHI,MIL,-10.5,10.5,0.502,0.513,-101,-105,1,2026-01-27T20:05:00-05:00,PHI -10.5,2026-01-27T17:34:30.757+00:00
POR,WAS,-6.5,6.5,0.523,0.484,-110,+107,0,2026-01-27T19:05:00-05:00,WAS +6.5,2026-01-27T17:52:50.061+00:00
OKC,NOP,-14.5,14.5,0.488,0.518,+105,-107,0,2026-01-27T20:05:00-05:00,OKC -14.5,2026-01-27T17:42:49.401+00:00
NYK,SAC,-13.5,13.5,0.491,0.517,+104,-107,0,2026-01-27T19:35:00-05:00,NYK -13.5,2026-01-27T17:50:17.407+00:00
PHX,BKN,-8.5,8.5,0.522,0.486,-109,+106,0,2026-01-27T21:05:00-05:00,PHX -8.5,2026-01-27T17:52:06.409+00:00
DET,DEN,-7.5,7.5,0.49,0.513,+104,-105,0,2026-01-27T21:05:00-05:00,DEN +7.5,2026-01-27T17:42:44.052+00:00
LAC,UTA,-8.5,8.5,0.491,0.518,+104,-107,0,2026-01-27T22:05:00-05:00,UTA +8.5,2026-01-27T17:49:07.454+00:00
