fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CLE,TOR,-4.5,4.5,0.504,0.512,-102,-105,1,2025-10-31T19:35:00-04:00,CLE -4.5,2025-10-31T22:35:46.191+00:00
ATL,IND,-2.5,2.5,0.493,0.514,+103,-106,0,2025-10-31T19:05:00-04:00,IND +2.5,2025-10-31T22:42:12.716+00:00
LAC,NOP,-10.5,10.5,0.534,0.49,-115,+104,0,2025-10-31T22:35:00-04:00,LAC -10.5,2025-10-31T22:42:25.963+00:00
DEN,POR,-4.5,4.5,0.524,0.487,-110,+105,0,2025-10-31T22:05:00-04:00,POR +4.5,2025-10-31T22:38:29.475+00:00
NYK,CHI,-5.5,5.5,0.485,0.521,+106,-109,0,2025-10-31T20:05:00-04:00,CHI +5.5,2025-10-31T22:43:15.19+00:00
LAL,MEM,-2.5,2.5,0.49,0.519,+104,-108,0,2025-10-31T21:35:00-04:00,MEM +2.5,2025-10-31T22:37:25.415+00:00
BOS,PHI,-1.5,1.5,0.504,0.517,-102,-107,0,2025-10-31T19:05:00-04:00,PHI +1.5,2025-10-31T22:43:39.033+00:00
PHX,UTA,-3.5,3.5,0.482,0.535,+107,-115,0,2025-10-31T22:05:00-04:00,PHX -3.5,2025-10-31T22:17:10.689+00:00
