fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
ORL,SAC,-8.5,8.5,0.502,0.5,-101,+100,0,2026-02-19T22:05:00-05:00,SAC +8.5,2026-02-19T18:20:40.451+00:00
NYK,DET,-3.5,3.5,0.521,0.499,-109,+100,0,2026-02-19T19:35:00-05:00,NYK -3.5,2026-02-19T18:21:52.063+00:00
DEN,LAC,-4.5,4.5,0.511,0.508,-104,-103,0,2026-02-19T22:35:00-05:00,LAC +4.5,2026-02-19T18:11:43.285+00:00
PHI,ATL,-1.5,1.5,0.485,0.526,+106,-111,1,2026-02-19T19:05:00-05:00,PHI -1.5,2026-02-19T18:24:22.93+00:00
CLE,BKN,-16.5,16.5,0.522,0.498,-109,+101,1,2026-02-19T19:05:00-05:00,CLE -16.5,2026-02-19T18:22:13.071+00:00
HOU,CHA,-4.5,4.5,0.514,0.503,-106,-101,0,2026-02-19T19:05:00-05:00,CHA +4.5,2026-02-19T18:24:17.994+00:00
SAS,PHX,-7.5,7.5,0.522,0.495,-109,+102,0,2026-02-19T20:35:00-05:00,SAS -7.5,2026-02-19T18:23:51.489+00:00
IND,WAS,-2.5,2.5,0.485,0.535,+106,-115,0,2026-02-19T19:05:00-05:00,WAS +2.5,2026-02-19T18:23:27.485+00:00
BOS,GSW,-5.5,5.5,0.525,0.493,-111,+103,0,2026-02-19T22:05:00-05:00,GSW +5.5,2026-02-19T18:18:56.922+00:00
TOR,CHI,-5.5,5.5,0.519,0.488,-108,+105,0,2026-02-19T20:05:00-05:00,CHI +5.5,2026-02-19T18:23:53.731+00:00
