fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
LAL,PHI,-4.5,4.5,0.49,0.53,+104,-113,0,2026-02-05T22:05:00-05:00,LAL -4.5,2026-02-05T18:20:29.387+00:00
PHX,GSW,-6.5,6.5,0.485,0.533,+106,-114,0,2026-02-05T22:05:00-05:00,PHX -6.5,2026-02-05T18:15:12.682+00:00
ORL,BKN,-9.5,9.5,0.507,0.515,-103,-106,1,2026-02-05T19:05:00-05:00,ORL -9.5,2026-02-05T18:17:29.348+00:00
DET,WAS,-14.5,14.5,0.52,0.488,-108,+105,1,2026-02-05T19:05:00-05:00,DET -14.5,2026-02-05T18:12:53.238+00:00
TOR,CHI,-7.5,7.5,0.526,0.498,-111,+101,1,2026-02-05T19:35:00-05:00,TOR -7.5,2026-02-05T18:19:53.381+00:00
HOU,CHA,-4.5,4.5,0.496,0.53,+102,-113,1,2026-02-05T20:05:00-05:00,HOU -4.5,2026-02-05T18:19:43.422+00:00
ATL,UTA,-9.5,9.5,0.507,0.507,-103,-103,1,2026-02-05T19:35:00-05:00,ATL -9.5,2026-02-05T18:20:30.887+00:00
SAS,DAL,-7.5,7.5,0.499,0.509,+100,-104,0,2026-02-05T20:35:00-05:00,DAL +7.5,2026-02-05T18:19:55.57+00:00
