fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
MIL,BKN,-2.5,2.5,0.489,0.526,+104,-111,0,2026-04-07T19:35:00-04:00,BKN +2.5,2026-04-07T18:17:17.224+00:00
NOP,UTA,-10.5,10.5,0.524,0.503,-110,-101,0,2026-04-07T20:05:00-04:00,NOP -10.5,2026-04-07T18:17:28.842+00:00
GSW,SAC,-14.5,14.5,0.481,0.53,+108,-113,0,2026-04-07T22:05:00-04:00,GSW -14.5,2026-04-07T18:21:06.899+00:00
MIN,IND,-12.5,12.5,0.518,0.505,-107,-102,0,2026-04-07T19:05:00-04:00,IND +12.5,2026-04-07T18:19:53.369+00:00
CHI,WAS,-5.5,5.5,0.521,0.485,-109,+106,0,2026-04-07T19:05:00-04:00,WAS +5.5,2026-04-07T18:15:41.305+00:00
PHX,HOU,-1.5,1.5,0.478,0.542,+109,-118,0,2026-04-07T23:05:00-04:00,PHX -1.5,2026-04-07T18:17:26.809+00:00
TOR,MIA,-1.5,1.5,0.515,0.508,-106,-103,1,2026-04-07T19:35:00-04:00,TOR -1.5,2026-04-07T18:17:33.977+00:00
BOS,CHA,-4.5,4.5,0.508,0.517,-103,-107,1,2026-04-07T20:05:00-04:00,BOS -4.5,2026-04-07T18:17:54.344+00:00
LAC,DAL,-11.5,11.5,0.526,0.484,-111,+107,0,2026-04-07T22:35:00-04:00,LAC -11.5,2026-04-07T18:17:16.201+00:00
OKC,LAL,-16.5,16.5,0.518,0.494,-107,+102,0,2026-04-07T22:35:00-04:00,LAL +16.5,2026-04-07T18:20:10.369+00:00
