fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
LAC,SAC,-3.5,3.5,0.51,0.501,-104,-100,0,2026-02-06T22:05:00-05:00,SAC +3.5,2026-02-06T18:11:58.452+00:00
MIN,NOP,-9.5,9.5,0.507,0.51,-103,-104,1,2026-02-06T20:05:00-05:00,MIN -9.5,2026-02-06T18:16:44.509+00:00
DET,NYK,-3.5,3.5,0.519,0.537,-108,-116,1,2026-02-06T19:35:00-05:00,DET -3.5,2026-02-06T18:17:25.76+00:00
BOS,MIA,-6.5,6.5,0.5,0.511,+100,-104,1,2026-02-06T19:35:00-05:00,BOS -6.5,2026-02-06T18:11:34.959+00:00
MIL,IND,-1.5,1.5,0.476,0.53,+110,-113,1,2026-02-06T20:05:00-05:00,MIL -1.5,2026-02-06T18:07:01.681+00:00
POR,MEM,-8.5,8.5,0.522,0.497,-109,+101,1,2026-02-06T22:05:00-05:00,POR -8.5,2026-02-06T18:15:48.997+00:00
