fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DET,ORL,-1.5,1.5,0.532,0.498,-114,+101,0,2026-04-06T19:05:00-04:00,ORL +1.5,2026-04-06T18:21:03.058+00:00
CLE,MEM,-12.5,12.5,0.529,0.498,-112,+101,0,2026-04-06T20:05:00-04:00,MEM +12.5,2026-04-06T18:17:33.964+00:00
ATL,NYK,-1.5,1.5,0.512,0.504,-105,-102,1,2026-04-06T19:05:00-04:00,ATL -1.5,2026-04-06T18:21:19.223+00:00
SAS,PHI,-8.5,8.5,0.51,0.493,-104,+103,0,2026-04-06T20:05:00-04:00,SAS -8.5,2026-04-06T18:21:45.819+00:00
DEN,POR,-7.5,7.5,0.502,0.517,-101,-107,1,2026-04-06T21:05:00-04:00,DEN -7.5,2026-04-06T18:20:43.09+00:00
