fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
SAS,BOS,-3.5,3.5,0.507,0.501,-103,-100,0,2026-03-10T20:05:00-04:00,SAS -3.5,2026-03-10T18:16:07.516+00:00
SAC,IND,-3.5,3.5,0.498,0.511,+101,-104,1,2026-03-10T22:05:00-04:00,SAC -3.5,2026-03-10T18:16:15.102+00:00
MIN,LAL,-2.5,2.5,0.508,0.5,-103,+100,0,2026-03-10T23:05:00-04:00,LAL +2.5,2026-03-10T18:18:13.907+00:00
GSW,CHI,-6.5,6.5,0.501,0.511,-100,-104,0,2026-03-10T22:05:00-04:00,GSW -6.5,2026-03-10T18:15:59.867+00:00
HOU,TOR,-5.5,5.5,0.491,0.521,+104,-109,1,2026-03-10T20:05:00-04:00,HOU -5.5,2026-03-10T18:14:14.628+00:00
DET,BKN,-14.5,14.5,0.529,0.481,-112,+108,0,2026-03-10T19:35:00-04:00,BKN +14.5,2026-03-10T18:17:59.33+00:00
MIA,WAS,-15.5,15.5,0.528,0.485,-112,+106,1,2026-03-10T19:35:00-04:00,MIA -15.5,2026-03-10T18:19:02.482+00:00
PHX,MIL,-1.5,1.5,0.5,0.511,+100,-104,0,2026-03-10T20:05:00-04:00,MIL +1.5,2026-03-10T18:19:08.483+00:00
ATL,DAL,-10.5,10.5,0.491,0.526,+104,-111,1,2026-03-10T19:35:00-04:00,ATL -10.5,2026-03-10T18:18:29.001+00:00
PHI,MEM,-2.5,2.5,0.531,0.475,-113,+111,1,2026-03-10T19:05:00-04:00,PHI -2.5,2026-03-10T18:15:03.08+00:00
CHA,POR,-3.5,3.5,0.489,0.52,+104,-108,0,2026-03-10T22:05:00-04:00,POR +3.5,2026-03-10T18:17:16.394+00:00
