fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DEN,SAC,-11.5,11.5,0.52,0.485,-108,+106,1,2025-11-03T21:05:00-05:00,DEN -11.5,2025-11-03T17:39:20.561+00:00
MIL,IND,-6.5,6.5,0.487,0.52,+105,-108,0,2025-11-03T19:05:00-05:00,IND +6.5,2025-11-03T17:37:55.712+00:00
MIN,BKN,-8.5,8.5,0.536,0.49,-116,+104,0,2025-11-03T19:05:00-05:00,BKN +8.5,2025-11-03T17:34:55.011+00:00
NYK,WAS,-12.5,12.5,0.522,0.499,-109,+100,0,2025-11-03T19:35:00-05:00,NYK -12.5,2025-11-03T17:37:08.295+00:00
HOU,DAL,-12.5,12.5,0.515,0.495,-106,+102,1,2025-11-03T20:05:00-05:00,HOU -12.5,2025-11-03T17:38:11.411+00:00
POR,LAL,-3.5,3.5,0.485,0.53,+106,-113,1,2025-11-03T22:05:00-05:00,POR -3.5,2025-11-03T17:38:03.239+00:00
LAC,MIA,-8.5,8.5,0.478,0.527,+109,-111,0,2025-11-03T22:35:00-05:00,LAC -8.5,2025-11-03T17:35:21.558+00:00
BOS,UTA,-10.5,10.5,0.5,0.511,+100,-104,1,2025-11-03T19:35:00-05:00,BOS -10.5,2025-11-03T17:40:04.673+00:00
DET,MEM,-4.5,4.5,0.5,0.512,+100,-105,0,2025-11-03T20:05:00-05:00,MEM +4.5,2025-11-03T17:40:19.795+00:00
