fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CLE,TOR,-2.5,2.5,0.506,0.51,-102,-104,0,2025-11-24T19:05:00-05:00,TOR +2.5,2025-11-24T17:42:14.712+00:00
DEN,MEM,-8.5,8.5,0.484,0.536,+107,-116,0,2025-11-24T20:05:00-05:00,MEM +8.5,2025-11-24T17:39:56.085+00:00
NYK,BKN,-13.5,13.5,0.5,0.507,+100,-103,0,2025-11-24T19:35:00-05:00,BKN +13.5,2025-11-24T17:28:49.302+00:00
MIN,SAC,-9.5,9.5,0.503,0.512,-101,-105,0,2025-11-24T22:05:00-05:00,SAC +9.5,2025-11-24T17:39:59.585+00:00
DET,IND,-10.5,10.5,0.508,0.511,-103,-104,0,2025-11-24T19:05:00-05:00,IND +10.5,2025-11-24T17:41:56.175+00:00
GSW,UTA,-14.5,14.5,0.521,0.498,-109,+101,0,2025-11-24T22:05:00-05:00,GSW -14.5,2025-11-24T17:41:46.32+00:00
HOU,PHX,-6.5,6.5,0.502,0.511,-101,-104,0,2025-11-24T21:35:00-05:00,PHX +6.5,2025-11-24T17:41:46.32+00:00
MIL,POR,-1.5,1.5,0.525,0.498,-111,+101,1,2025-11-24T20:05:00-05:00,MIL -1.5,2025-11-24T17:40:10.45+00:00
MIA,DAL,-8.5,8.5,0.526,0.484,-111,+107,1,2025-11-24T19:35:00-05:00,MIA -8.5,2025-11-24T17:39:59.585+00:00
CHI,NOP,-5.5,5.5,0.508,0.523,-103,-110,0,2025-11-24T20:05:00-05:00,NOP +5.5,2025-11-24T17:40:00.629+00:00
